calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-02-26,-9.9,-5.6,-15.7,1.0,2.2,,110,5,1.0,,,,,
2016-02-27,-11.4,-5.4,-19.3,2.5,2.0,,107,6,1.2,,,,,
2016-02-28,-12.0,-3.6,-22.6,0.0,7.0,,105,1,1.1,,,,,
2016-02-29,-6.7,-2.5,-18.5,5.5,0.0,,102,2,5.7,,,,,
2016-03-01,-5.7,-2.4,-8.9,3.5,1.6,,92,4,4.7,,,,,
2016-03-02,-7.7,-4.6,-12.2,4.0,0.6,,104,14,1.2,,,,,
2016-03-03,-11.3,-3.2,-22.9,0.0,10.5,,98,5,0.9,,,,,
2016-03-04,-10.3,-2.4,-18.8,2.0,2.7,,101,4,0.6,,,,,
2016-03-05,-6.5,0.2,-16.1,0.0,9.6,,99,1,1.0,,,,,
2016-03-06,-0.6,7.0,-7.0,5.0,0.0,,95,0,2.1,,,,,
2016-03-07,1.9,6.7,-2.6,0.5,3.8,,86,0,2.7,,,,,
2016-03-08,-0.3,5.1,-6.2,2.5,1.0,,80,4,2.3,,,,,
2016-03-09,-2.2,0.3,-6.4,0.0,4.6,,81,1,2.0,,,,,
2016-03-10,-3.5,0.7,-9.6,0.5,7.4,,81,4,2.0,,,,,
2016-03-11,-5.5,-1.2,-11.3,2.5,3.4,,85,6,1.1,,,,,
2016-03-12,-4.5,-0.1,-11.7,0.5,7.3,,83,1,1.3,,,,,
2016-03-13,-1.4,1.1,-5.4,12.0,1.3,,101,23,3.0,,,,,
2016-03-14,-0.7,1.9,-9.0,7.0,0.0,,107,8,2.1,,,,,
2016-03-15,-7.4,0.2,-15.8,0.0,7.0,,97,0,1.4,,,,,
2016-03-16,-1.9,4.6,-16.1,0.0,0.9,,96,0,2.9,,,,,
2016-03-17,3.4,6.5,0.6,0.0,7.3,,86,1,1.6,,,,,
2016-03-18,6.6,10.4,2.1,0.0,6.0,,79,0,3.0,,,,,
2016-03-19,2.3,7.1,-0.8,0.0,0.1,,71,0,2.4,,,,,
2016-03-20,-2.2,-0.4,-4.8,0.0,1.7,,68,0,3.1,,,,,
2016-03-21,-1.6,0.5,-4.7,0.0,0.4,,69,1,1.9,,,,,
2016-03-22,0.5,3.6,-3.2,0.0,10.2,,69,1,1.9,,,,,
2016-03-23,-1.2,2.4,-8.0,3.5,5.5,,71,8,1.1,,,,,
2016-03-24,-4.1,0.7,-10.8,0.0,4.3,,69,0,1.4,,,,,
2016-03-25,-0.9,3.0,-5.8,0.5,8.4,,68,2,1.2,,,,,
2016-03-26,-1.6,2.6,-8.6,0.0,10.7,,65,0,1.4,,,,,
2016-03-27,3.6,6.9,-2.2,0.5,7.5,,64,0,4.2,,,,,
2016-03-28,0.5,4.1,-6.0,0.0,11.1,,55,1,0.9,,,,,
2016-03-29,1.6,8.0,-7.8,0.0,7.9,,53,0,2.0,,,,,
2016-03-30,5.2,11.7,1.1,2.0,4.9,,48,0,2.4,,,,,
2016-03-31,3.4,7.1,0.7,1.5,5.4,,42,0,2.2,,,,,
2016-04-01,0.5,2.4,-1.0,0.0,3.6,,37,0,3.4,,,,,
2016-04-02,1.9,7.1,-3.8,0.0,7.6,,35,0,1.2,,,,,
2016-04-03,4.4,7.0,-0.3,2.0,6.3,,32,0,4.3,,,,,
2016-04-04,3.7,6.8,-0.8,0.0,12.0,,23,0,2.7,,,,,
2016-04-05,2.8,7.0,-0.8,12.5,3.3,,18,3,3.1,,,,,
2016-04-06,5.0,8.8,0.0,0.0,11.5,,15,0,2.5,,,,,
2016-04-07,7.2,11.8,2.0,0.0,8.2,,9,0,3.5,,,,,
2016-04-08,4.9,8.0,1.7,1.0,1.8,,1,1,2.2,,,,,
2016-04-09,1.2,3.6,-0.2,6.5,0.0,,3,5,1.6,,,,,
2016-04-10,1.4,4.1,0.1,4.5,6.2,,5,4,2.0,,,,,
2016-04-11,0.8,2.8,-0.8,1.0,1.4,,2,0,2.8,,,,,
2016-04-12,3.6,7.5,-2.1,0.0,12.0,,2,1,2.3,,,,,
2016-04-13,3.0,6.0,0.4,8.5,0.0,,2,0,2.7,,,,,
2016-04-14,2.6,7.3,0.2,8.5,2.5,,2,2,3.1,,,,,
2016-04-15,0.6,2.3,-0.6,4.0,0.8,,,,,,,,,
2016-04-16,3.5,7.5,-0.1,1.0,6.4,,2,0,1.4,,,,,
2016-04-17,2.4,5.6,0.1,10.5,0.1,,2,0,4.6,,,,,
2016-04-18,-0.6,0.4,-2.3,8.0,0.0,,9,7,3.1,,,,,
2016-04-19,0.5,4.7,-4.5,0.0,7.5,,8,0,1.1,,,,,
2016-04-20,5.6,9.6,-0.6,0.5,2.2,,2,0,4.7,,,,,
2016-04-21,7.2,11.7,-1.9,1.0,8.1,,0,0,4.2,,,,,
2016-04-22,2.2,6.8,-3.3,0.0,8.6,,0,0,3.3,,,,,
2016-04-23,4.7,8.2,1.7,5.5,0.0,,0,0,2.2,,,,,
2016-04-24,6.0,12.2,0.0,0.0,8.0,,0,0,2.1,,,,,
2016-04-25,4.0,7.2,1.5,0.0,2.1,,0,0,2.0,,,,,
2016-04-26,1.6,4.0,-4.7,1.5,0.4,,0,0,1.8,,,,,
2016-04-27,3.4,8.8,-4.6,0.0,7.3,,0,0,2.3,,,,,
2016-04-28,6.5,13.9,-1.3,0.0,12.3,,0,0,2.2,,,,,
2016-04-29,1.6,3.4,-0.7,2.0,0.0,,0,0,3.4,,,,,
2016-04-30,2.1,4.1,-0.6,0.5,1.1,,0,0,4.0,,,,,
2016-05-01,2.6,6.5,-4.0,0.0,5.6,,0,0,2.5,,,,,
2016-05-02,4.9,13.8,-6.0,1.5,10.1,,0,0,1.5,,,,,
2016-05-03,14.2,19.9,5.3,0.0,7.2,,0,0,3.7,,,,,
2016-05-04,9.2,12.4,6.6,18.5,0.4,,0,0,1.9,,,,,
2016-05-05,7.2,9.9,3.5,3.5,0.0,,0,0,2.7,,,,,
2016-05-06,7.6,12.5,3.6,0.0,8.9,,0,0,1.9,,,,,
2016-05-07,8.5,15.6,5.7,5.5,0.4,,0,0,4.7,,,,,
2016-05-08,7.7,14.6,-0.4,0.5,10.7,,0,0,2.2,,,,,
2016-05-09,7.9,14.4,-0.5,0.0,12.5,,0,0,2.9,,,,,
2016-05-10,10.9,20.9,-1.4,0.0,12.8,,0,0,2.0,,,,,
2016-05-11,8.8,13.8,4.8,1.0,0.0,,0,0,3.9,,,,,
2016-05-12,6.4,10.4,3.7,2.5,1.6,,0,0,2.6,,,,,
2016-05-13,12.1,21.5,6.4,0.0,9.2,,0,0,4.4,,,,,
2016-05-14,11.0,17.9,4.7,0.0,13.2,,0,0,2.1,,,,,
2016-05-15,11.9,19.6,0.4,0.0,5.2,,0,0,1.4,,,,,
2016-05-16,14.2,22.7,7.2,0.5,0.3,,0,0,1.9,,,,,
2016-05-17,11.6,15.0,9.3,2.0,7.6,,0,0,6.0,,,,,
2016-05-18,12.2,17.0,8.3,0.0,13.5,,0,0,2.6,,,,,
2016-05-19,15.2,20.9,8.9,0.0,13.0,,0,0,4.2,,,,,
2016-05-20,16.3,21.8,9.9,0.0,13.3,,0,0,4.1,,,,,
2016-05-21,17.2,23.8,9.3,0.0,13.3,,0,0,2.6,,,,,
2016-05-22,14.4,19.9,4.6,0.0,13.4,,0,0,2.8,,,,,
2016-05-23,12.0,20.0,3.1,0.0,9.4,,0,0,2.2,,,,,
2016-05-24,14.8,24.1,6.2,0.0,9.7,,0,0,1.7,,,,,
2016-05-25,13.6,18.7,10.4,2.0,0.0,,0,0,4.6,,,,,
2016-05-26,14.2,19.1,11.9,0.0,5.8,,0,0,5.0,,,,,
2016-05-27,14.6,19.2,11.0,0.0,10.3,,0,0,4.0,,,,,
2016-05-28,12.9,17.9,6.9,0.0,10.3,,0,0,3.0,,,,,
2016-05-29,8.0,13.9,1.9,0.0,4.8,,0,0,1.6,,,,,
2016-05-30,10.0,16.3,2.1,0.0,10.1,,0,0,2.7,,,,,
2016-05-31,8.4,12.3,5.0,12.0,0.9,,0,0,3.0,,,,,
2016-06-01,6.6,7.5,5.5,34.5,0.0,,0,0,4.5,,,,,
2016-06-02,7.7,12.0,2.8,0.5,5.1,,0,0,2.4,,,,,
2016-06-03,7.5,14.1,0.2,0.0,6.7,,0,0,1.4,,,,,
2016-06-04,5.3,9.9,-2.1,1.5,1.3,,0,0,2.4,,,,,
2016-06-05,7.6,15.2,-1.5,0.0,7.6,,0,0,1.4,,,,,
2016-06-06,10.5,17.2,-1.2,0.0,10.0,,0,0,1.5,,,,,
2016-06-07,13.8,20.2,6.3,0.0,12.2,,0,0,1.8,,,,,
2016-06-08,12.9,18.7,7.0,0.5,0.0,,0,0,1.0,,,,,
2016-06-09,11.4,16.2,7.9,0.0,0.1,,0,0,1.9,,,,,
2016-06-10,10.5,14.3,7.5,0.5,0.1,,0,0,1.4,,,,,
2016-06-11,11.2,17.2,7.9,0.0,5.1,,0,0,2.0,,,,,
2016-06-12,9.6,15.1,6.8,0.0,9.0,,0,0,3.2,,,,,
2016-06-13,11.6,15.6,7.3,25.0,0.0,,0,0,1.6,,,,,
2016-06-14,14.8,16.7,13.3,28.0,0.0,,0,0,1.4,,,,,
2016-06-15,16.0,20.4,9.9,0.5,1.5,,0,0,1.6,,,,,
2016-06-16,16.0,23.3,6.6,0.5,11.1,,0,0,1.7,,,,,
2016-06-17,11.7,14.0,9.2,4.0,0.2,,0,0,2.1,,,,,
2016-06-18,9.5,11.3,7.8,0.5,0.0,,0,0,1.7,,,,,
2016-06-19,13.1,18.5,8.9,0.0,2.9,,0,0,1.3,,,,,
2016-06-20,15.5,21.4,8.4,0.0,2.5,,0,0,1.3,,,,,
2016-06-21,17.5,25.2,11.0,0.0,7.9,,0,0,1.6,,,,,
2016-06-22,15.0,20.8,10.5,0.0,13.4,,0,0,2.9,,,,,
2016-06-23,15.8,22.5,10.5,0.0,13.2,,0,0,2.7,,,,,
2016-06-24,11.3,15.0,7.2,2.0,0.2,,0,0,2.2,,,,,
2016-06-25,7.7,8.6,6.4,14.5,0.0,,0,0,4.7,,,,,
2016-06-26,8.8,10.3,7.8,0.5,0.0,,0,0,2.8,,,,,
2016-06-27,13.6,17.9,6.9,0.0,5.4,,0,0,2.7,,,,,
2016-06-28,16.6,21.2,13.8,0.0,7.0,,0,0,2.9,,,,,
2016-06-29,18.3,23.1,14.6,0.0,12.5,,0,0,3.4,,,,,
2016-06-30,19.1,25.0,12.8,0.0,14.4,,0,0,2.5,,,,,
2016-07-01,18.9,23.8,13.1,0.0,10.8,,0,0,2.5,,,,,
2016-07-02,19.5,24.8,14.9,28.5,2.2,,0,0,2.7,,,,,
2016-07-03,14.3,18.2,10.6,31.0,0.0,,0,0,2.7,,,,,
2016-07-04,9.8,10.8,7.9,6.0,0.0,,0,0,3.5,,,,,
2016-07-05,12.7,21.1,7.4,0.0,9.1,,0,0,2.1,,,,,
2016-07-06,16.5,24.3,8.1,0.0,9.7,,0,0,1.2,,,,,
2016-07-07,16.2,20.8,8.0,0.0,8.5,,0,0,3.7,,,,,
2016-07-08,17.0,19.8,15.9,0.0,1.4,,0,0,6.0,,,,,
2016-07-09,17.1,18.2,15.9,24.5,0.0,,0,0,3.6,,,,,
2016-07-10,14.6,17.1,12.2,0.0,0.0,,0,0,1.5,,,,,
2016-07-11,15.8,21.5,10.6,0.0,5.6,,0,0,1.1,,,,,
2016-07-12,16.9,24.1,10.0,0.0,9.9,,0,0,1.3,,,,,
2016-07-13,17.5,23.9,14.0,0.0,12.9,,0,0,2.3,,,,,
2016-07-14,15.0,19.0,12.3,0.0,3.7,,0,0,3.2,,,,,
2016-07-15,13.6,15.5,12.3,0.0,0.0,,0,0,3.0,,,,,
2016-07-16,16.1,23.2,12.5,0.0,9.4,,0,0,2.2,,,,,
2016-07-17,16.0,20.2,12.1,0.0,6.3,,0,0,2.3,,,,,
2016-07-18,16.0,19.0,13.5,0.0,3.3,,0,0,2.5,,,,,
2016-07-19,15.5,18.2,13.1,0.0,0.4,,0,0,2.6,,,,,
2016-07-20,18.4,25.6,12.0,0.0,10.8,,0,0,1.4,,,,,
2016-07-21,18.2,25.1,12.0,0.0,5.4,,0,0,1.4,,,,,
2016-07-22,19.3,25.2,12.6,0.0,9.8,,0,0,1.6,,,,,
2016-07-23,19.3,26.6,11.9,0.0,7.7,,0,0,1.4,,,,,
2016-07-24,19.3,27.4,10.9,0.0,9.5,,0,0,1.1,,,,,
2016-07-25,18.6,25.6,10.7,0.0,7.9,,0,0,1.3,,,,,
2016-07-26,16.9,23.0,11.3,0.0,7.3,,0,0,1.8,,,,,
2016-07-27,18.8,22.9,14.1,19.5,0.0,,0,0,1.5,,,,,
2016-07-28,20.2,22.2,17.7,6.5,0.0,,0,0,2.9,,,,,
2016-07-29,21.3,23.3,18.2,85.0,0.0,,0,0,1.7,,,,,
2016-07-30,22.6,26.0,20.4,6.0,0.1,,0,0,3.1,,,,,
2016-07-31,22.5,26.1,20.3,0.0,1.0,,0,0,2.7,,,,,
2016-08-01,23.4,28.2,19.7,0.0,2.3,,0,0,1.3,,,,,
2016-08-02,22.4,27.8,19.9,0.0,5.8,,0,0,1.1,,,,,
2016-08-03,22.0,25.5,20.3,0.0,1.6,,0,0,3.6,,,,,
2016-08-04,22.2,25.4,20.1,0.5,9.7,,0,0,3.4,,,,,
2016-08-05,20.3,24.3,15.3,10.0,10.3,,0,0,1.7,,,,,
2016-08-06,19.5,25.8,11.8,0.0,11.0,,0,0,1.4,,,,,
2016-08-07,21.5,30.0,11.4,0.0,5.6,,0,0,2.0,,,,,
2016-08-08,22.2,26.2,18.1,3.0,0.7,,0,0,2.3,,,,,
2016-08-09,17.8,22.0,13.2,0.0,6.9,,0,0,2.1,,,,,
2016-08-10,18.1,25.4,9.0,0.0,11.1,,0,0,1.4,,,,,
2016-08-11,20.6,25.7,15.8,0.5,6.3,,0,0,1.9,,,,,
2016-08-12,21.7,26.6,13.1,0.0,11.1,,0,0,2.3,,,,,
2016-08-13,23.6,28.3,19.2,0.0,9.6,,0,0,2.2,,,,,
2016-08-14,22.1,28.5,16.8,0.0,7.6,,0,0,1.2,,,,,
2016-08-15,20.6,23.0,19.1,0.0,0.2,,0,0,1.7,,,,,
2016-08-16,23.1,27.1,19.8,16.0,4.9,,0,0,1.7,,,,,
2016-08-17,20.8,22.9,19.3,24.0,0.0,,0,0,1.8,,,,,
2016-08-18,21.4,25.9,15.6,2.5,3.9,,0,0,1.8,,,,,
2016-08-19,21.0,26.9,15.1,0.5,1.8,,0,0,1.1,,,,,
2016-08-20,21.1,24.0,17.6,0.5,0.3,,0,0,0.9,,,,,
2016-08-21,21.1,26.6,17.9,0.0,4.9,,0,0,2.6,,,,,
2016-08-22,21.8,24.1,19.2,5.5,0.0,,0,0,1.9,,,,,
2016-08-23,19.6,23.5,14.8,24.5,1.1,,0,0,1.2,,,,,
2016-08-24,20.8,25.9,14.4,0.0,10.6,,0,0,2.6,,,,,
2016-08-25,21.2,26.6,11.8,0.0,9.3,,0,0,2.8,,,,,
2016-08-26,17.5,23.5,10.3,16.0,2.8,,0,0,1.6,,,,,
2016-08-27,15.2,22.0,6.8,0.0,12.6,,0,0,1.7,,,,,
2016-08-28,15.9,17.5,10.9,0.0,2.4,,0,0,3.3,,,,,
2016-08-29,18.8,20.6,16.4,2.5,0.2,,0,0,4.7,,,,,
2016-08-30,20.2,22.0,19.1,2.5,0.9,,0,0,7.4,,,,,
2016-08-31,20.8,25.9,17.0,6.5,1.8,,0,0,3.4,,,,,
2016-09-01,18.7,24.9,14.7,0.0,7.5,,0,0,1.9,,,,,
2016-09-02,16.3,17.8,15.0,0.0,0.0,,0,0,2.8,,,,,
2016-09-03,17.4,20.4,16.1,0.0,0.5,,0,0,2.5,,,,,
2016-09-04,17.9,20.5,16.6,28.5,0.0,,0,0,1.4,,,,,
2016-09-05,18.5,22.6,14.5,0.5,4.6,,0,0,2.0,,,,,
2016-09-06,18.3,20.6,15.7,76.5,0.0,,0,0,1.9,,,,,
2016-09-07,14.4,16.2,12.5,34.5,0.0,,0,0,3.2,,,,,
2016-09-08,14.2,16.8,12.6,0.0,1.1,,0,0,4.4,,,,,
2016-09-09,14.2,14.9,13.2,9.5,0.0,,0,0,4.7,,,,,
2016-09-10,14.0,16.6,11.1,5.0,0.0,,0,0,2.0,,,,,
2016-09-11,13.3,19.0,6.9,0.5,6.1,,0,0,1.3,,,,,
2016-09-12,12.0,20.0,4.9,0.0,10.3,,0,0,0.9,,,,,
2016-09-13,13.0,22.6,3.6,0.0,8.6,,0,0,0.8,,,,,
2016-09-14,16.2,22.2,8.1,0.0,1.9,,0,0,1.2,,,,,
2016-09-15,16.4,21.0,13.1,0.0,1.7,,0,0,1.9,,,,,
2016-09-16,15.9,21.2,12.5,37.0,0.6,,0,0,2.6,,,,,
2016-09-17,11.4,15.0,6.3,0.0,0.5,,0,0,2.7,,,,,
2016-09-18,9.7,17.5,2.4,0.0,5.1,,0,0,1.4,,,,,
2016-09-19,10.9,18.2,5.0,0.0,9.3,,0,0,0.8,,,,,
2016-09-20,12.3,20.0,4.3,0.0,7.8,,0,0,1.3,,,,,
2016-09-21,10.2,19.5,1.6,0.0,11.4,,0,0,1.0,,,,,
2016-09-22,11.5,20.5,0.6,0.0,7.3,,0,0,1.1,,,,,
2016-09-23,14.5,23.0,7.5,0.0,9.0,,0,0,0.9,,,,,
2016-09-24,15.4,22.4,6.1,0.0,8.9,,0,0,1.8,,,,,
2016-09-25,18.1,21.6,13.7,0.5,5.0,,0,0,3.5,,,,,
2016-09-26,17.2,20.3,12.1,0.0,8.4,,0,0,2.6,,,,,
2016-09-27,18.4,22.7,10.1,1.5,7.1,,0,0,3.2,,,,,
2016-09-28,14.1,20.2,3.3,17.5,2.0,,0,0,2.5,,,,,
2016-09-29,9.3,18.6,0.9,0.0,5.5,,0,0,1.0,,,,,
2016-09-30,14.5,20.1,2.4,0.0,7.7,,0,0,3.9,,,,,
2016-10-01,14.3,20.8,5.9,0.0,10.3,,0,0,1.7,,,,,
2016-10-02,17.6,20.9,10.3,0.0,5.3,,0,0,4.6,,,,,
2016-10-03,16.0,19.1,13.5,44.5,0.1,,0,0,2.1,,,,,
2016-10-04,11.2,15.8,7.4,8.5,0.2,,0,0,2.6,,,,,
2016-10-05,7.9,12.8,1.4,1.5,2.0,,0,0,1.3,,,,,
2016-10-06,7.9,12.3,4.1,5.5,2.0,,0,0,1.7,,,,,
2016-10-07,6.9,10.2,2.4,1.5,0.8,,0,0,1.8,,,,,
2016-10-08,9.1,14.1,2.1,3.5,1.9,,0,0,1.5,,,,,
2016-10-09,8.3,11.1,3.5,9.0,0.3,,0,0,2.0,,,,,
2016-10-10,5.9,8.8,1.9,1.0,1.6,,0,0,1.5,,,,,
2016-10-11,6.8,11.5,2.6,12.0,2.3,,0,0,1.4,,,,,
2016-10-12,5.4,9.8,3.3,3.0,1.5,,0,0,1.1,,,,,
2016-10-13,5.4,12.1,-0.5,0.0,5.1,,0,0,1.0,,,,,
2016-10-14,4.1,12.1,-1.9,0.5,4.0,,0,0,1.1,,,,,
2016-10-15,10.8,15.8,-1.1,0.0,6.7,,0,0,4.3,,,,,
2016-10-16,15.7,17.3,13.5,0.0,2.1,,0,0,4.3,,,,,
2016-10-17,15.2,19.4,12.8,1.0,2.6,,0,0,3.1,,,,,
2016-10-18,9.9,14.8,4.9,2.0,9.7,,0,0,1.8,,,,,
2016-10-19,9.4,13.8,1.0,0.0,10.1,,0,0,2.1,,,,,
2016-10-20,5.7,13.8,0.3,14.5,0.0,,0,0,3.3,,,,,
2016-10-21,4.5,6.5,0.0,1.0,1.1,,0,0,2.3,,,,,
2016-10-22,2.0,6.2,-2.9,6.0,0.5,,0,0,0.8,,,,,
2016-10-23,3.2,4.8,1.3,0.0,0.0,,0,0,1.6,,,,,
2016-10-24,3.4,5.4,1.5,0.0,0.1,,0,0,2.3,,,,,
2016-10-25,7.4,10.5,1.2,1.0,6.2,,0,0,2.9,,,,,
2016-10-26,7.3,10.9,3.5,7.5,0.8,,0,0,2.3,,,,,
2016-10-27,3.7,6.3,2.2,0.0,1.3,,0,0,2.4,,,,,
2016-10-28,5.0,7.4,1.9,0.0,2.5,,0,0,2.1,,,,,
2016-10-29,1.8,4.6,0.5,0.0,2.7,,0,0,2.4,,,,,
2016-10-30,0.9,2.7,-1.1,0.0,1.0,,0,0,2.7,,,,,
2016-10-31,-0.2,3.4,-2.7,13.5,0.0,,15,16,1.2,,,,,
2016-11-01,-1.6,-0.5,-3.1,0.0,0.0,,13,0,0.9,,,,,
2016-11-02,0.8,2.8,-2.8,0.0,3.4,,5,0,1.1,,,,,
2016-11-03,-0.2,2.3,-5.1,0.0,0.0,,0,0,0.8,,,,,
2016-11-04,-0.6,1.4,-3.8,3.5,1.4,,4,4,1.7,,,,,
2016-11-05,-0.4,1.2,-2.4,5.0,0.0,,8,8,2.1,,,,,
2016-11-06,-2.4,-1.0,-3.4,1.0,0.1,,12,4,2.3,,,,,
2016-11-07,-1.8,1.1,-3.5,0.0,1.3,,9,0,1.2,,,,,
2016-11-08,1.3,6.3,-2.7,7.5,0.1,,5,2,2.6,,,,,
2016-11-09,-0.8,2.8,-2.0,8.5,0.0,,7,8,2.8,,,,,
2016-11-10,-1.4,0.5,-7.0,1.0,0.5,,7,2,2.0,,,,,
2016-11-11,-3.0,1.6,-11.5,0.0,8.5,,5,0,2.1,,,,,
2016-11-12,2.5,5.5,0.7,0.0,0.4,,3,0,2.1,,,,,
2016-11-13,1.4,4.2,-1.6,6.5,0.0,,0,0,0.8,,,,,
2016-11-14,0.7,8.1,-6.1,12.5,2.1,,0,0,1.4,,,,,
2016-11-15,3.0,8.3,-0.1,5.5,0.3,,0,0,1.4,,,,,
2016-11-16,-1.2,1.5,-2.8,9.5,1.1,,9,9,1.8,,,,,
2016-11-17,-1.9,-0.3,-4.0,3.0,1.5,,13,6,1.3,,,,,
2016-11-18,1.9,5.9,-1.7,5.0,0.0,,8,0,1.9,,,,,
2016-11-19,0.7,4.0,-1.9,3.5,0.0,,0,0,1.7,,,,,
2016-11-20,1.9,9.2,-4.0,18.0,0.3,,0,0,1.8,,,,,
2016-11-21,-3.2,-1.9,-4.6,1.0,0.1,,3,3,1.9,,,,,
2016-11-22,-4.0,-1.7,-6.7,5.5,0.3,,13,13,1.4,,,,,
2016-11-23,-9.5,-5.5,-11.3,4.5,0.1,,13,5,2.0,,,,,
