calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-16,0.1,4.1,-2.2,0.0,6.9,,,,1.6,,,,,
2016-12-17,2.0,5.3,-0.8,0.5,6.7,,,,2.2,,,,,
2016-12-18,7.2,11.9,0.2,0.0,6.5,,,,2.1,,,,,
2016-12-19,6.6,13.2,2.4,0.0,3.8,,,,1.3,,,,,
2016-12-20,7.1,12.5,2.6,0.0,4.7,,,,1.4,,,,,
2016-12-21,5.7,14.0,0.2,0.0,5.5,,,,1.5,,,,,
2016-12-22,10.4,16.3,2.4,4.5,0.0,,,,0.9,,,,,
2016-12-23,9.9,15.3,3.3,4.0,7.2,,,,2.5,,,,,
2016-12-24,2.6,6.0,-2.4,0.0,5.4,,,,2.4,,,,,
2016-12-25,0.7,7.2,-3.3,0.0,6.6,,,,1.4,,,,,
2016-12-26,2.9,7.5,-2.9,0.0,2.1,,,,1.2,,,,,
2016-12-27,4.5,8.0,1.0,5.0,0.0,,,,1.7,,,,,
2016-12-28,0.5,3.6,-3.1,0.0,7.6,,,,2.2,,,,,
2016-12-29,2.1,9.5,-2.7,0.0,2.5,,,,1.8,,,,,
2016-12-30,0.7,3.5,-1.8,0.0,7.3,,,,2.0,,,,,
2016-12-31,2.4,8.3,-2.2,0.0,2.1,,,,1.3,,,,,
2017-01-01,2.5,8.5,-3.2,0.0,5.0,,,,1.4,,,,,
2017-01-02,4.3,9.0,-0.3,0.0,0.1,,,,0.9,,,,,
2017-01-03,3.8,7.4,0.5,0.0,3.7,,,,1.8,,,,,
2017-01-04,1.8,4.3,0.4,1.0,0.3,,,,1.0,,,,,
2017-01-05,1.0,4.4,-1.6,0.0,8.0,,,,2.4,,,,,
2017-01-06,0.0,4.1,-2.6,0.0,8.4,,,,2.3,,,,,
2017-01-07,2.2,9.1,-3.0,0.0,5.0,,,,1.4,,,,,
2017-01-08,2.9,6.3,-2.0,0.5,4.9,,,,1.8,,,,,
2017-01-09,4.5,6.6,2.1,7.5,0.1,,,,1.7,,,,,
2017-01-10,3.3,7.4,-0.9,0.5,6.2,,,,1.9,,,,,
2017-01-11,-1.3,1.7,-2.9,0.0,5.6,,,,1.9,,,,,
2017-01-12,-1.6,0.9,-2.9,0.0,0.8,,,,1.8,,,,,
2017-01-13,-1.0,1.8,-2.8,0.0,5.4,,,,2.2,,,,,
2017-01-14,-3.1,-1.2,-5.5,0.0,0.1,,,,1.7,,,,,
2017-01-15,-3.6,0.9,-8.5,0.0,7.9,,,,2.3,,,,,
2017-01-16,0.3,4.2,-2.8,0.0,2.9,,,,2.8,,,,,
2017-01-17,0.8,4.9,-3.3,0.0,8.2,,,,2.4,,,,,
2017-01-18,1.0,7.4,-3.5,0.0,6.5,,,,1.5,,,,,
2017-01-19,2.9,6.7,-0.2,0.0,5.1,,,,1.8,,,,,
2017-01-20,1.9,5.4,-1.5,0.0,2.4,,,,1.9,,,,,
2017-01-21,1.2,4.9,-1.9,1.0,2.4,,,,2.2,,,,,
2017-01-22,1.3,8.2,-3.2,0.0,2.0,,,,1.6,,,,,
2017-01-23,-0.2,3.4,-2.7,0.0,6.6,,,,2.1,,,,,
2017-01-24,-2.6,0.6,-5.3,0.0,5.6,,,,1.5,,,,,
2017-01-25,-1.7,3.9,-7.1,0.0,6.8,,,,1.4,,,,,
2017-01-26,1.2,8.2,-4.6,0.0,8.3,,,,1.7,,,,,
2017-01-27,3.3,11.6,-2.1,0.5,1.1,,,,2.0,,,,,
2017-01-28,2.4,6.9,-1.3,0.0,6.9,,,,2.3,,,,,
2017-01-29,2.5,8.6,-3.6,0.0,6.5,,,,1.1,,,,,
2017-01-30,3.6,8.3,-0.5,5.0,2.7,,,,1.3,,,,,
2017-01-31,0.2,4.0,-2.9,0.0,8.0,,,,2.7,,,,,
2017-02-01,2.3,8.7,-2.7,0.0,5.4,,,,2.1,,,,,
2017-02-02,-2.4,1.2,-4.9,1.5,6.4,,,,2.8,,,,,
2017-02-03,0.5,4.5,-4.1,0.0,8.5,,,,2.5,,,,,
2017-02-04,3.7,8.4,-1.5,0.0,6.6,,,,1.7,,,,,
2017-02-05,4.8,9.5,-0.2,2.5,1.5,,,,1.3,,,,,
2017-02-06,4.4,10.5,1.5,3.0,5.2,,,,2.3,,,,,
2017-02-07,0.8,4.1,-2.5,0.5,6.5,,,,2.3,,,,,
2017-02-08,0.4,4.4,-2.7,0.0,6.6,,,,2.1,,,,,
2017-02-09,1.3,4.2,-0.9,1.5,0.0,,,,1.0,,,,,
2017-02-10,0.7,2.2,-1.1,6.0,0.0,,,,1.3,,,,,
2017-02-11,1.0,5.4,-1.7,0.0,6.5,,,,1.5,,,,,
2017-02-12,2.5,6.9,-1.5,0.0,4.1,,,,2.2,,,,,
2017-02-13,2.8,6.8,-0.7,0.0,3.9,,,,1.5,,,,,
2017-02-14,1.7,7.1,-2.3,0.0,5.0,,,,1.3,,,,,
2017-02-15,1.9,7.1,-2.4,0.0,6.7,,,,1.5,,,,,
2017-02-16,3.8,11.9,-2.7,0.0,7.5,,,,1.7,,,,,
2017-02-17,7.9,17.8,0.6,0.0,2.8,,,,2.9,,,,,
2017-02-18,1.3,5.0,-1.3,0.0,9.4,,,,3.3,,,,,
2017-02-19,0.1,3.3,-2.7,0.0,9.5,,,,2.7,,,,,
2017-02-20,2.4,7.4,-2.1,1.0,1.4,,,,1.5,,,,,
2017-02-21,0.3,2.8,-1.7,0.0,4.5,,,,4.2,,,,,
2017-02-22,1.0,6.5,-3.6,0.0,3.5,,,,1.2,,,,,
2017-02-23,4.0,6.9,0.6,5.0,0.0,,,,1.6,,,,,
2017-02-24,1.7,5.4,-1.0,0.0,5.2,,,,2.4,,,,,
2017-02-25,1.6,7.6,-2.7,0.0,8.3,,,,1.6,,,,,
2017-02-26,3.5,9.1,-2.1,0.0,7.1,,,,1.9,,,,,
2017-02-27,0.8,5.8,-3.0,0.0,9.9,,,,2.3,,,,,
2017-02-28,-0.5,6.2,-4.7,0.0,5.0,,,,1.5,,,,,
2017-03-01,1.7,8.2,-4.0,0.0,8.2,,,,1.3,,,,,
2017-03-02,4.2,8.3,-0.8,0.0,0.6,,,,0.9,,,,,
2017-03-03,4.7,9.3,-1.1,0.0,7.0,,,,3.0,,,,,
2017-03-04,4.4,11.9,-1.6,0.0,5.3,,,,1.8,,,,,
2017-03-05,4.3,10.6,-1.6,0.0,9.0,,,,1.6,,,,,
2017-03-06,5.9,12.9,-0.8,0.0,3.0,,,,1.5,,,,,
2017-03-07,1.9,7.0,-1.3,0.0,6.1,,,,2.3,,,,,
2017-03-08,1.2,5.9,-2.2,0.0,7.1,,,,2.4,,,,,
2017-03-09,3.4,9.5,-1.7,0.0,7.3,,,,2.1,,,,,
2017-03-10,2.9,8.9,-0.8,0.0,6.9,,,,1.8,,,,,
2017-03-11,2.3,7.1,-2.4,0.0,7.2,,,,2.2,,,,,
2017-03-12,2.2,8.6,-2.5,0.0,2.7,,,,1.7,,,,,
2017-03-13,3.7,6.6,-1.2,0.0,0.0,,,,0.7,,,,,
2017-03-14,5.0,6.4,3.0,9.5,0.0,,,,2.8,,,,,
2017-03-15,2.6,4.4,0.1,1.5,0.0,,,,2.2,,,,,
2017-03-16,4.1,9.0,-1.1,0.0,7.4,,,,2.1,,,,,
2017-03-17,4.3,9.4,-1.6,0.0,8.5,,,,1.9,,,,,
2017-03-18,5.5,10.2,0.2,0.0,4.5,,,,1.9,,,,,
2017-03-19,6.0,11.6,-0.3,0.0,10.7,,,,2.4,,,,,
2017-03-20,6.9,13.3,1.2,0.0,10.0,,,,2.1,,,,,
2017-03-21,3.9,5.6,-0.2,22.0,0.0,,,,1.0,,,,,
2017-03-22,5.7,10.1,2.6,0.0,9.0,,,,3.1,,,,,
2017-03-23,3.9,9.5,-1.0,0.0,6.5,,,,1.9,,,,,
2017-03-24,2.6,8.0,-1.8,0.0,8.4,,,,2.1,,,,,
2017-03-25,3.0,9.7,-2.4,0.0,7.2,,,,1.9,,,,,
2017-03-26,3.7,8.0,-1.9,0.0,0.2,,,,1.0,,,,,
2017-03-27,4.0,6.3,2.4,11.0,0.0,,,,1.2,,,,,
2017-03-28,4.2,10.1,-0.8,0.0,7.3,,,,1.5,,,,,
2017-03-29,5.3,11.5,-0.9,0.0,8.2,,,,1.6,,,,,
2017-03-30,8.0,16.2,-0.9,0.0,10.2,,,,2.2,,,,,
2017-03-31,4.9,7.9,2.8,2.5,0.0,,,,1.6,,,,,
2017-04-01,4.2,6.2,2.5,0.0,0.5,,,,2.0,,,,,
2017-04-02,4.4,10.4,0.5,0.0,6.7,,,,1.4,,,,,
2017-04-03,6.0,13.6,-0.7,0.0,6.8,,,,1.7,,,,,
2017-04-04,7.4,12.9,2.8,0.0,6.8,,,,1.6,,,,,
2017-04-05,11.2,20.2,1.9,0.0,11.5,,,,1.7,,,,,
2017-04-06,13.9,20.2,6.9,0.0,8.3,,,,2.1,,,,,
2017-04-07,14.2,20.8,7.8,0.5,4.2,,,,1.7,,,,,
2017-04-08,9.6,11.2,6.7,0.5,0.0,,,,1.5,,,,,
2017-04-09,9.2,13.2,1.7,1.0,2.8,,,,1.6,,,,,
2017-04-10,7.1,15.4,-0.9,0.0,11.9,,,,2.0,,,,,
2017-04-11,7.4,12.5,0.4,34.0,0.5,,,,2.3,,,,,
2017-04-12,8.6,13.0,1.1,4.0,5.2,,,,2.4,,,,,
2017-04-13,5.7,10.9,-1.0,0.5,7.1,,,,3.0,,,,,
2017-04-14,11.2,18.5,0.2,0.0,10.6,,,,1.8,,,,,
2017-04-15,13.7,18.1,8.2,0.0,3.6,,,,1.9,,,,,
2017-04-16,17.2,24.8,8.1,0.0,8.5,,,,2.5,,,,,
2017-04-17,12.0,17.1,8.2,7.0,6.2,,,,1.7,,,,,
2017-04-18,13.2,21.9,8.1,44.0,5.3,,,,2.8,,,,,
2017-04-19,10.3,17.7,6.1,0.0,4.3,,,,3.0,,,,,
2017-04-20,9.3,14.1,5.9,0.0,4.2,,,,2.4,,,,,
2017-04-21,9.4,13.5,6.1,0.0,3.0,,,,1.0,,,,,
2017-04-22,9.9,16.0,5.4,0.0,5.1,,,,2.0,,,,,
2017-04-23,6.4,12.3,1.3,0.0,3.2,,,,1.5,,,,,
2017-04-24,8.7,14.2,2.4,0.0,11.4,,,,1.6,,,,,
2017-04-25,12.2,18.7,4.0,0.0,11.2,,,,1.6,,,,,
2017-04-26,13.5,20.0,9.8,3.5,1.2,,,,0.9,,,,,
2017-04-27,11.3,15.8,8.6,0.5,3.3,,,,1.5,,,,,
2017-04-28,11.8,19.0,6.1,0.0,9.6,,,,1.8,,,,,
2017-04-29,12.2,21.5,5.7,0.0,8.2,,,,1.5,,,,,
2017-04-30,14.1,20.8,5.3,0.0,12.5,,,,1.8,,,,,
2017-05-01,15.1,19.8,10.4,0.0,2.4,,,,1.8,,,,,
2017-05-02,9.9,17.3,4.8,0.0,12.2,,,,2.1,,,,,
2017-05-03,14.4,23.2,4.6,0.0,12.9,,,,1.7,,,,,
2017-05-04,15.0,21.7,8.3,0.0,10.0,,,,1.5,,,,,
2017-05-05,18.3,26.4,11.4,0.0,11.1,,,,1.2,,,,,
2017-05-06,15.8,19.5,11.9,0.0,0.8,,,,0.8,,,,,
2017-05-07,15.6,21.1,9.0,0.0,11.0,,,,2.5,,,,,
2017-05-08,14.7,23.1,6.5,0.0,11.3,,,,2.5,,,,,
2017-05-09,12.8,19.7,4.4,0.0,8.7,,,,1.5,,,,,
2017-05-10,12.5,15.5,9.9,0.5,0.0,,,,0.6,,,,,
2017-05-11,15.4,20.2,10.0,0.5,4.5,,,,2.0,,,,,
2017-05-12,12.6,19.4,8.8,0.0,7.3,,,,1.1,,,,,
2017-05-13,11.6,12.6,10.6,49.0,0.0,,,,2.4,,,,,
2017-05-14,11.1,12.0,10.5,11.5,0.0,,,,4.4,,,,,
2017-05-15,11.7,13.3,10.8,6.5,0.0,,,,1.5,,,,,
2017-05-16,14.8,19.7,9.6,0.5,11.4,,,,2.1,,,,,
2017-05-17,12.5,18.2,7.9,0.0,13.4,,,,1.7,,,,,
2017-05-18,15.6,23.1,7.3,0.0,11.6,,,,1.7,,,,,
2017-05-19,16.9,24.4,10.8,0.0,13.8,,,,1.4,,,,,
2017-05-20,21.4,29.6,11.7,0.0,13.5,,,,2.1,,,,,
2017-05-21,21.1,28.1,14.5,0.0,13.2,,,,1.4,,,,,
2017-05-22,20.1,30.9,13.3,0.0,11.1,,,,1.4,,,,,
2017-05-23,17.0,24.5,11.6,0.0,11.1,,,,1.4,,,,,
2017-05-24,17.9,21.8,15.0,1.0,0.2,,,,0.6,,,,,
2017-05-25,14.1,15.8,12.9,22.5,0.0,,,,0.8,,,,,
2017-05-26,13.3,15.9,12.2,4.0,0.0,,,,0.7,,,,,
2017-05-27,13.8,19.5,12.1,9.5,0.4,,,,0.7,,,,,
2017-05-28,16.6,22.2,11.9,0.0,9.8,,,,1.4,,,,,
2017-05-29,18.7,27.4,9.3,0.0,13.5,,,,1.5,,,,,
2017-05-30,22.2,28.9,16.1,0.0,10.7,,,,1.5,,,,,
2017-05-31,21.9,29.4,16.5,0.0,4.4,,,,1.0,,,,,
