calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-02-21,6.2,10.2,1.5,0.0,,,,,3.5,,,,,
2016-02-22,1.5,5.5,-2.0,0.0,,,,,2.2,,,,,
2016-02-23,4.4,8.3,0.1,0.0,,,,,1.7,,,,,
2016-02-24,-0.1,3.5,-4.4,0.0,,,,,2.4,,,,,
2016-02-25,-1.5,4.6,-5.8,0.0,,,,,1.6,,,,,
2016-02-26,0.7,6.0,-3.8,0.0,,,,,1.9,,,,,
2016-02-27,2.6,6.8,-2.4,0.0,,,,,2.1,,,,,
2016-02-28,3.3,7.4,-1.4,0.5,,,,,2.2,,,,,
2016-02-29,5.7,9.2,0.3,2.0,,,,,3.8,,,,,
2016-03-01,0.0,3.1,-2.0,0.5,,,,,2.7,,,,,
2016-03-02,0.6,5.5,-4.0,0.0,,,,,2.0,,,,,
2016-03-03,3.8,9.9,-2.8,0.0,,,,,2.7,,,,,
2016-03-04,1.6,7.0,-2.7,0.0,,,,,1.8,,,,,
2016-03-05,3.9,7.3,-1.7,0.0,,,,,2.0,,,,,
2016-03-06,7.8,10.6,5.3,0.5,,,,,1.2,,,,,
2016-03-07,10.0,15.0,6.8,16.5,,,,,1.5,,,,,
2016-03-08,9.1,14.3,6.6,0.0,,,,,2.2,,,,,
2016-03-09,4.2,6.7,2.8,0.0,,,,,2.3,,,,,
2016-03-10,2.9,7.1,-0.7,0.0,,,,,2.1,,,,,
2016-03-11,0.9,7.4,-2.9,0.0,,,,,1.9,,,,,
2016-03-12,0.7,7.3,-4.8,0.0,,,,,1.8,,,,,
2016-03-13,2.8,8.1,-2.5,0.0,,,,,1.3,,,,,
2016-03-14,4.3,6.4,3.1,2.0,,,,,0.8,,,,,
2016-03-15,4.2,9.1,-0.8,0.0,,,,,3.2,,,,,
2016-03-16,6.3,10.9,-0.5,0.0,,,,,2.0,,,,,
2016-03-17,9.2,17.0,1.9,0.0,,,,,2.3,,,,,
2016-03-18,10.8,16.2,4.5,0.0,,,,,1.7,,,,,
2016-03-19,11.3,16.0,8.1,1.0,,,,,1.8,,,,,
2016-03-20,7.0,10.5,2.2,0.0,,,,,2.1,,,,,
2016-03-21,3.9,9.4,-1.5,0.0,,,,,2.0,,,,,
2016-03-22,6.6,11.5,0.0,0.0,,,,,1.9,,,,,
2016-03-23,6.1,10.5,0.9,0.0,,,,,3.0,,,,,
2016-03-24,3.9,9.3,-0.2,0.0,,,,,2.2,,,,,
2016-03-25,3.4,8.6,-0.6,0.0,,,,,3.4,,,,,
2016-03-26,4.0,10.8,-1.4,0.0,,,,,1.8,,,,,
2016-03-27,5.5,12.1,-1.5,0.0,,,,,1.9,,,,,
2016-03-28,7.5,14.2,2.3,0.0,,,,,2.2,,,,,
2016-03-29,6.7,12.3,0.9,0.0,,,,,2.3,,,,,
2016-03-30,9.9,16.5,5.3,3.0,,,,,2.4,,,,,
2016-03-31,8.2,15.5,0.6,0.0,,,,,2.1,,,,,
2016-04-01,6.7,11.0,1.3,0.0,,,,,2.8,,,,,
2016-04-02,7.0,7.7,5.6,0.0,,,,,2.7,,,,,
2016-04-03,12.3,18.0,7.1,0.0,,,,,2.9,,,,,
2016-04-04,7.4,13.7,3.8,32.0,,,,,2.2,,,,,
2016-04-05,6.6,13.5,1.4,0.0,,,,,1.9,,,,,
2016-04-06,9.6,17.0,3.6,0.0,,,,,2.0,,,,,
2016-04-07,8.8,11.8,3.7,63.0,,,,,2.4,,,,,
2016-04-08,11.4,14.8,6.2,0.0,,,,,3.1,,,,,
2016-04-09,11.5,18.8,4.3,0.0,,,,,1.8,,,,,
2016-04-10,7.9,9.7,5.3,0.0,,,,,2.9,,,,,
2016-04-11,4.5,10.5,0.9,2.5,,,,,3.0,,,,,
2016-04-12,6.3,13.1,-1.8,0.0,,,,,2.7,,,,,
2016-04-13,12.4,15.9,8.2,0.5,,,,,5.1,,,,,
2016-04-14,11.8,16.3,9.3,16.5,,,,,1.6,,,,,
2016-04-15,9.9,13.5,6.0,0.0,,,,,4.8,,,,,
2016-04-16,9.9,15.3,2.6,0.0,,,,,2.1,,,,,
2016-04-17,14.0,17.4,7.8,5.5,,,,,5.3,,,,,
2016-04-18,14.3,17.9,9.5,0.0,,,,,3.0,,,,,
2016-04-19,12.0,17.6,6.9,0.0,,,,,3.0,,,,,
2016-04-20,9.6,15.4,2.2,0.0,,,,,2.3,,,,,
2016-04-21,13.0,17.6,6.1,5.5,,,,,1.8,,,,,
2016-04-22,12.2,16.1,9.5,1.5,,,,,2.0,,,,,
2016-04-23,12.7,17.2,8.5,0.0,,,,,2.4,,,,,
2016-04-24,12.6,19.7,6.4,0.0,,,,,2.5,,,,,
2016-04-25,11.9,18.2,5.0,0.0,,,,,1.7,,,,,
2016-04-26,12.3,21.6,6.0,0.0,,,,,1.9,,,,,
2016-04-27,9.2,13.0,5.5,0.0,,,,,2.5,,,,,
2016-04-28,10.5,13.0,8.1,47.5,,,,,2.4,,,,,
2016-04-29,9.0,12.7,5.9,1.5,,,,,2.9,,,,,
2016-04-30,10.1,15.6,4.2,0.0,,,,,2.3,,,,,
2016-05-01,8.4,11.5,6.6,9.0,,,,,1.1,,,,,
2016-05-02,10.7,13.9,7.5,0.0,,,,,1.3,,,,,
2016-05-03,15.8,19.5,11.1,0.0,,,,,4.8,,,,,
2016-05-04,14.4,17.5,9.3,14.5,,,,,5.0,,,,,
2016-05-05,15.0,20.6,8.2,0.0,,,,,2.6,,,,,
2016-05-06,15.6,22.0,7.1,0.0,,,,,2.8,,,,,
2016-05-07,16.3,21.9,13.6,0.0,,,,,3.6,,,,,
2016-05-08,16.1,21.0,10.4,0.0,,,,,3.4,,,,,
2016-05-09,15.0,20.1,7.1,0.0,,,,,3.4,,,,,
2016-05-10,13.5,16.3,12.0,26.5,,,,,2.4,,,,,
2016-05-11,12.3,14.6,11.1,5.5,,,,,1.8,,,,,
2016-05-12,14.6,19.3,9.2,0.0,,,,,3.2,,,,,
2016-05-13,16.0,21.5,9.1,0.0,,,,,2.0,,,,,
2016-05-14,14.0,17.6,11.5,0.0,,,,,2.8,,,,,
2016-05-15,12.1,16.8,7.8,0.0,,,,,2.4,,,,,
2016-05-16,15.5,19.5,9.5,0.0,,,,,3.6,,,,,
2016-05-17,13.4,17.3,9.7,25.5,,,,,1.7,,,,,
2016-05-18,14.8,21.2,9.4,0.0,,,,,2.4,,,,,
2016-05-19,14.0,20.6,8.5,0.0,,,,,1.9,,,,,
2016-05-20,12.9,18.6,8.2,0.0,,,,,1.8,,,,,
2016-05-21,14.5,17.3,10.7,1.0,,,,,1.3,,,,,
2016-05-22,16.2,22.1,11.5,0.0,,,,,1.8,,,,,
2016-05-23,19.0,30.0,11.1,0.0,,,,,1.9,,,,,
2016-05-24,17.2,22.9,12.5,0.0,,,,,2.1,,,,,
2016-05-25,17.7,20.4,14.9,0.0,,,,,1.7,,,,,
2016-05-26,19.9,26.3,15.2,0.0,,,,,1.5,,,,,
2016-05-27,16.1,18.9,11.3,9.0,,,,,1.4,,,,,
2016-05-28,16.5,23.3,10.8,0.0,,,,,2.2,,,,,
2016-05-29,16.1,21.1,10.0,0.0,,,,,2.4,,,,,
2016-05-30,17.9,22.5,14.1,0.0,,,,,2.2,,,,,
2016-05-31,17.3,22.0,14.7,0.0,,,,,2.2,,,,,
2016-06-01,16.1,20.9,12.3,0.0,,,,,3.8,,,,,
2016-06-02,14.3,18.7,10.1,0.0,,,,,3.4,,,,,
2016-06-03,14.6,21.6,6.9,0.0,,,,,2.4,,,,,
2016-06-04,19.0,24.6,11.4,0.0,,,,,2.0,,,,,
2016-06-05,16.8,24.6,12.8,0.0,,,,,2.6,,,,,
2016-06-06,15.4,20.5,11.6,0.0,,,,,2.6,,,,,
2016-06-07,16.9,21.7,11.3,0.0,,,,,1.8,,,,,
2016-06-08,20.0,24.4,17.0,0.0,,,,,2.2,,,,,
2016-06-09,19.7,23.1,18.1,47.5,,,,,2.0,,,,,
2016-06-10,20.2,28.3,14.1,0.0,,,,,1.7,,,,,
2016-06-11,17.0,24.7,12.4,0.0,,,,,3.0,,,,,
2016-06-12,20.2,25.5,15.7,0.0,,,,,2.4,,,,,
2016-06-13,17.6,20.4,16.1,34.0,,,,,2.6,,,,,
2016-06-14,17.0,19.7,15.8,9.0,,,,,2.0,,,,,
2016-06-15,16.9,19.3,15.5,0.0,,,,,1.5,,,,,
2016-06-16,18.7,21.0,16.1,10.5,,,,,3.8,,,,,
2016-06-17,20.3,25.6,17.1,3.5,,,,,2.1,,,,,
2016-06-18,22.1,27.5,17.1,0.0,,,,,3.1,,,,,
2016-06-19,20.3,24.0,15.9,0.0,,,,,2.9,,,,,
2016-06-20,20.1,24.9,17.3,25.5,,,,,2.3,,,,,
2016-06-21,19.8,24.6,16.0,0.0,,,,,2.2,,,,,
2016-06-22,17.8,19.1,16.5,0.5,,,,,1.8,,,,,
2016-06-23,17.0,17.5,16.4,43.0,,,,,1.7,,,,,
2016-06-24,18.4,21.6,16.8,8.0,,,,,1.7,,,,,
2016-06-25,20.8,26.0,18.1,30.5,,,,,1.9,,,,,
2016-06-26,20.0,23.8,16.2,1.0,,,,,2.9,,,,,
2016-06-27,19.6,25.5,15.2,0.0,,,,,2.5,,,,,
2016-06-28,17.9,19.9,16.6,7.0,,,,,0.9,,,,,
2016-06-29,19.9,26.2,14.9,0.0,,,,,2.0,,,,,
2016-06-30,19.1,21.4,16.8,1.0,,,,,1.1,,,,,
2016-07-01,22.5,28.1,17.7,0.0,,,,,1.9,,,,,
2016-07-02,21.3,23.6,18.2,0.0,,,,,1.8,,,,,
2016-07-03,23.7,27.2,20.8,0.0,,,,,2.8,,,,,
2016-07-04,22.4,28.6,16.7,0.0,,,,,2.9,,,,,
2016-07-05,17.1,19.9,15.9,0.0,,,,,1.9,,,,,
2016-07-06,18.7,20.6,16.2,20.5,,,,,2.0,,,,,
2016-07-07,17.8,21.3,15.9,1.0,,,,,1.8,,,,,
2016-07-08,20.0,25.7,15.7,0.5,,,,,1.3,,,,,
2016-07-09,20.7,24.3,18.1,7.0,,,,,1.0,,,,,
2016-07-10,23.4,29.1,17.9,0.0,,,,,2.2,,,,,
2016-07-11,21.3,27.0,16.6,0.0,,,,,3.4,,,,,
2016-07-12,20.4,26.5,15.0,0.0,,,,,2.2,,,,,
2016-07-13,20.9,26.3,17.4,13.0,,,,,1.7,,,,,
2016-07-14,21.4,24.7,19.9,9.5,,,,,1.2,,,,,
2016-07-15,19.5,22.5,17.5,0.0,,,,,2.2,,,,,
2016-07-16,19.8,25.2,17.5,0.0,,,,,2.2,,,,,
2016-07-17,20.5,22.1,18.8,1.5,,,,,0.8,,,,,
2016-07-18,24.2,30.8,19.6,0.0,,,,,1.9,,,,,
2016-07-19,23.6,29.8,18.5,0.0,,,,,1.6,,,,,
2016-07-20,20.1,24.2,17.4,0.0,,,,,2.0,,,,,
2016-07-21,19.5,22.6,18.0,0.0,,,,,1.7,,,,,
2016-07-22,18.7,23.0,15.4,0.0,,,,,1.9,,,,,
2016-07-23,18.7,22.3,17.0,0.0,,,,,1.6,,,,,
2016-07-24,18.7,20.7,17.2,1.0,,,,,1.3,,,,,
2016-07-25,21.5,27.1,18.7,2.0,,,,,2.0,,,,,
2016-07-26,21.5,25.1,18.9,1.0,,,,,1.7,,,,,
2016-07-27,22.7,25.0,19.8,0.0,,,,,2.1,,,,,
2016-07-28,24.3,28.5,22.1,0.0,,,,,2.3,,,,,
2016-07-29,25.3,29.6,21.4,0.0,,,,,2.1,,,,,
2016-07-30,25.1,30.5,20.5,0.0,,,,,2.0,,,,,
2016-07-31,25.1,31.1,21.6,0.0,,,,,2.3,,,,,
2016-08-01,23.8,27.5,22.4,9.0,,,,,1.4,,,,,
2016-08-02,23.6,29.2,21.8,0.0,,,,,2.1,,,,,
2016-08-03,24.6,30.2,21.7,4.0,,,,,1.8,,,,,
2016-08-04,25.9,32.0,21.7,0.0,,,,,1.8,,,,,
2016-08-05,25.7,32.2,20.6,0.0,,,,,1.5,,,,,
2016-08-06,24.9,30.0,20.6,0.0,,,,,2.2,,,,,
2016-08-07,25.2,30.3,21.5,0.0,,,,,2.1,,,,,
2016-08-08,24.3,28.1,21.5,16.0,,,,,1.9,,,,,
2016-08-09,25.7,32.9,22.1,20.5,,,,,3.9,,,,,
2016-08-10,23.5,27.8,19.8,0.0,,,,,2.9,,,,,
2016-08-11,21.8,26.8,17.8,0.0,,,,,2.5,,,,,
2016-08-12,20.9,26.3,17.0,0.0,,,,,2.6,,,,,
2016-08-13,21.2,27.2,16.3,0.0,,,,,2.5,,,,,
2016-08-14,20.7,26.9,16.3,0.0,,,,,2.1,,,,,
2016-08-15,22.8,26.4,17.6,0.0,,,,,2.0,,,,,
2016-08-16,26.3,31.0,24.3,4.0,,,,,3.5,,,,,
2016-08-17,24.6,28.5,22.9,111.0,,,,,2.8,,,,,
2016-08-18,23.2,25.7,21.9,18.5,,,,,1.8,,,,,
2016-08-19,24.8,29.4,22.7,4.0,,,,,1.9,,,,,
2016-08-20,24.6,26.7,23.3,9.0,,,,,2.8,,,,,
2016-08-21,26.1,31.4,23.4,12.5,,,,,3.1,,,,,
2016-08-22,26.1,30.3,23.2,16.5,,,,,4.4,,,,,
2016-08-23,25.2,32.0,21.7,1.0,,,,,1.9,,,,,
2016-08-24,23.7,28.3,21.7,0.0,,,,,1.9,,,,,
2016-08-25,25.3,29.6,21.9,0.0,,,,,2.6,,,,,
2016-08-26,25.6,30.0,21.2,12.5,,,,,2.5,,,,,
2016-08-27,19.3,21.3,18.4,18.5,,,,,1.5,,,,,
2016-08-28,20.3,23.4,18.1,4.5,,,,,1.9,,,,,
2016-08-29,23.0,24.1,20.5,14.0,,,,,3.1,,,,,
2016-08-30,23.2,25.4,20.3,51.0,,,,,4.2,,,,,
2016-08-31,23.2,27.7,19.4,0.0,,,,,1.9,,,,,
2016-09-01,23.8,29.5,19.6,0.0,,,,,1.8,,,,,
2016-09-02,22.1,23.8,19.6,0.0,,,,,1.3,,,,,
2016-09-03,23.5,26.9,21.9,0.0,,,,,2.3,,,,,
2016-09-04,23.3,27.2,21.5,0.0,,,,,1.5,,,,,
2016-09-05,25.2,29.0,22.4,0.0,,,,,1.9,,,,,
2016-09-06,25.6,30.7,21.8,0.0,,,,,2.2,,,,,
2016-09-07,22.6,27.9,20.5,0.0,,,,,1.5,,,,,
2016-09-08,21.9,24.6,19.6,57.0,,,,,2.6,,,,,
2016-09-09,23.3,28.1,17.9,34.5,,,,,2.8,,,,,
2016-09-10,21.9,28.4,16.6,0.0,,,,,2.1,,,,,
2016-09-11,19.5,21.3,17.4,0.0,,,,,1.3,,,,,
2016-09-12,20.1,22.2,18.8,2.0,,,,,1.6,,,,,
2016-09-13,19.2,21.1,18.2,17.5,,,,,2.6,,,,,
2016-09-14,20.8,24.2,18.4,1.0,,,,,1.5,,,,,
2016-09-15,20.2,24.6,17.8,0.0,,,,,1.7,,,,,
2016-09-16,20.4,23.7,18.5,0.0,,,,,1.3,,,,,
2016-09-17,21.0,24.5,18.5,1.0,,,,,1.2,,,,,
2016-09-18,18.2,20.0,17.3,6.0,,,,,0.7,,,,,
2016-09-19,17.4,19.0,16.4,3.5,,,,,0.9,,,,,
2016-09-20,16.4,17.7,14.6,25.5,,,,,1.6,,,,,
2016-09-21,17.6,21.4,13.6,1.5,,,,,1.6,,,,,
2016-09-22,18.8,21.6,16.2,25.0,,,,,1.8,,,,,
2016-09-23,19.6,22.6,17.1,9.0,,,,,1.4,,,,,
2016-09-24,19.7,24.4,16.3,1.5,,,,,1.5,,,,,
2016-09-25,20.6,24.5,18.4,0.0,,,,,1.2,,,,,
2016-09-26,20.4,23.2,18.6,1.0,,,,,1.0,,,,,
2016-09-27,20.7,25.4,18.0,5.5,,,,,1.3,,,,,
2016-09-28,22.1,23.9,20.5,1.5,,,,,1.2,,,,,
2016-09-29,17.9,20.7,12.8,11.0,,,,,1.5,,,,,
2016-09-30,15.8,21.2,10.2,0.0,,,,,1.7,,,,,
2016-10-01,17.6,23.0,14.3,0.0,,,,,1.6,,,,,
2016-10-02,18.1,23.8,14.2,0.0,,,,,1.9,,,,,
2016-10-03,19.7,22.9,14.6,0.0,,,,,1.2,,,,,
2016-10-04,21.4,25.9,15.1,0.0,,,,,3.3,,,,,
2016-10-05,16.9,21.9,10.2,2.5,,,,,2.0,,,,,
2016-10-06,19.6,23.5,14.7,2.5,,,,,2.8,,,,,
2016-10-07,13.7,19.1,9.2,0.0,,,,,1.7,,,,,
2016-10-08,18.2,22.0,10.6,6.5,,,,,1.6,,,,,
2016-10-09,15.8,21.7,8.4,4.0,,,,,2.4,,,,,
2016-10-10,11.9,16.6,8.1,0.0,,,,,1.5,,,,,
2016-10-11,11.4,17.0,6.2,0.0,,,,,1.3,,,,,
2016-10-12,11.7,19.8,5.4,0.0,,,,,1.7,,,,,
2016-10-13,9.8,16.1,4.7,0.0,,,,,1.0,,,,,
2016-10-14,11.9,18.4,6.8,0.0,,,,,1.4,,,,,
2016-10-15,13.9,20.4,8.7,0.0,,,,,1.5,,,,,
2016-10-16,15.5,22.2,9.3,0.0,,,,,1.5,,,,,
2016-10-17,18.5,20.3,15.7,2.5,,,,,1.7,,,,,
2016-10-18,18.6,24.8,14.9,0.0,,,,,1.3,,,,,
2016-10-19,14.9,21.0,11.6,0.0,,,,,1.8,,,,,
2016-10-20,15.8,23.6,8.8,0.0,,,,,3.3,,,,,
2016-10-21,10.8,15.5,6.0,0.0,,,,,2.0,,,,,
2016-10-22,10.7,16.5,3.9,0.0,,,,,1.2,,,,,
2016-10-23,12.0,16.6,6.5,0.0,,,,,2.8,,,,,
2016-10-24,9.3,15.9,2.2,0.0,,,,,1.8,,,,,
2016-10-25,12.8,17.9,4.4,6.0,,,,,3.2,,,,,
2016-10-26,18.6,24.0,13.6,0.0,,,,,2.2,,,,,
2016-10-27,11.7,16.3,6.4,0.0,,,,,2.4,,,,,
2016-10-28,9.4,12.4,5.3,15.0,,,,,1.1,,,,,
2016-10-29,8.6,13.1,3.7,6.0,,,,,1.8,,,,,
2016-10-30,6.6,13.5,2.3,0.0,,,,,1.4,,,,,
2016-10-31,8.9,14.2,2.5,0.0,,,,,1.2,,,,,
2016-11-01,8.1,13.1,3.4,1.5,,,,,1.4,,,,,
2016-11-02,5.4,12.0,0.1,0.5,,,,,1.5,,,,,
2016-11-03,8.9,15.8,4.7,0.0,,,,,1.7,,,,,
2016-11-04,7.6,12.6,3.8,0.0,,,,,2.0,,,,,
2016-11-05,12.8,19.1,5.7,0.0,,,,,1.7,,,,,
2016-11-06,8.3,15.8,0.5,0.0,,,,,2.5,,,,,
2016-11-07,4.6,11.0,-1.2,0.0,,,,,1.4,,,,,
2016-11-08,9.5,14.3,3.5,0.0,,,,,2.2,,,,,
2016-11-09,5.3,10.0,2.1,0.0,,,,,3.7,,,,,
2016-11-10,4.0,7.8,0.4,0.0,,,,,1.6,,,,,
2016-11-11,6.9,10.1,0.6,27.0,,,,,0.8,,,,,
2016-11-12,10.4,16.8,5.1,0.0,,,,,1.8,,,,,
2016-11-13,9.5,16.2,4.1,0.0,,,,,1.2,,,,,
2016-11-14,10.6,15.7,5.8,0.0,,,,,1.2,,,,,
2016-11-15,13.3,19.2,8.1,0.0,,,,,2.6,,,,,
2016-11-16,7.8,10.7,5.4,0.0,,,,,2.8,,,,,
2016-11-17,6.3,10.7,0.7,0.0,,,,,1.7,,,,,
2016-11-18,6.3,11.9,-0.6,0.0,,,,,1.4,,,,,
2016-11-19,8.4,10.8,5.0,9.5,,,,,0.7,,,,,
2016-11-20,11.4,17.5,6.6,0.0,,,,,1.7,,,,,
2016-11-21,8.8,13.9,5.3,0.0,,,,,1.8,,,,,
2016-11-22,11.6,17.5,5.6,6.0,,,,,1.7,,,,,
2016-11-23,2.7,6.3,-0.9,3.0,,,,,1.8,,,,,
2016-11-24,0.9,4.7,-2.9,0.0,,,,,1.3,,,,,
2016-11-25,2.1,6.9,-3.3,0.0,,,,,1.2,,,,,
2016-11-26,4.5,10.3,-1.9,0.0,,,,,1.4,,,,,
2016-11-27,8.2,11.0,6.0,5.5,,,,,0.7,,,,,
2016-11-28,6.5,9.2,4.6,2.0,,,,,2.3,,,,,
2016-11-29,3.9,7.0,-1.6,0.0,,,,,2.5,,,,,
2016-11-30,2.4,7.2,-2.1,0.0,,,,,1.1,,,,,
2016-12-01,8.9,12.7,3.5,14.0,,,,,1.3,,,,,
2016-12-02,6.9,9.5,4.1,0.0,,,,,4.4,,,,,
2016-12-03,8.2,13.8,3.8,0.0,,,,,1.9,,,,,
2016-12-04,9.1,15.2,4.5,0.0,,,,,1.2,,,,,
2016-12-05,9.9,14.3,5.4,0.0,,,,,1.4,,,,,
2016-12-06,6.3,13.8,0.8,1.5,,,,,3.1,,,,,
2016-12-07,2.3,5.6,-0.2,1.0,,,,,1.8,,,,,
2016-12-08,2.3,7.1,-1.9,0.0,,,,,1.5,,,,,
2016-12-09,6.2,11.4,-1.1,0.0,,,,,1.9,,,,,
2016-12-10,1.9,5.7,-2.0,0.5,,,,,1.7,,,,,
2016-12-11,-0.3,2.9,-3.1,0.5,,,,,1.4,,,,,
2016-12-12,0.1,5.0,-4.1,0.0,,,,,1.1,,,,,
2016-12-13,5.6,12.2,-0.3,1.0,,,,,1.2,,,,,
2016-12-14,3.1,5.8,-1.8,31.5,,,,,2.1,,,,,
2016-12-15,1.8,5.5,-2.2,0.0,,,,,2.2,,,,,
2016-12-16,0.5,4.5,-2.1,0.0,,,,,2.6,,,,,
2016-12-17,2.2,4.9,-0.9,0.0,,,,,2.3,,,,,
2016-12-18,7.3,11.7,2.0,0.0,,,,,1.8,,,,,
2016-12-19,8.5,12.1,4.0,0.0,,,,,2.0,,,,,
2016-12-20,7.9,14.1,3.5,0.0,,,,,1.5,,,,,
2016-12-21,6.7,13.5,2.0,0.0,,,,,1.2,,,,,
2016-12-22,11.8,16.9,3.8,1.0,,,,,3.5,,,,,
2016-12-23,9.9,16.0,2.9,4.0,,,,,3.5,,,,,
2016-12-24,2.1,6.1,-3.2,0.0,,,,,2.6,,,,,
2016-12-25,1.4,6.6,-3.7,0.0,,,,,1.4,,,,,
2016-12-26,2.8,7.3,-2.2,0.0,,,,,1.0,,,,,
2016-12-27,4.5,7.7,1.5,4.0,,,,,1.4,,,,,
2016-12-28,0.1,3.5,-3.6,0.0,,,,,1.9,,,,,
2016-12-29,2.3,8.8,-3.6,0.0,,,,,2.1,,,,,
2016-12-30,1.2,3.8,-0.8,0.0,,,,,2.5,,,,,
2016-12-31,2.7,8.3,-1.9,0.0,,,,,1.6,,,,,
2017-01-01,3.7,8.0,-1.8,0.0,,,,,1.7,,,,,
2017-01-02,6.5,10.9,3.5,0.0,,,,,1.3,,,,,
2017-01-03,4.3,7.2,1.8,0.0,,,,,1.9,,,,,
2017-01-04,2.0,4.8,-0.3,1.5,,,,,1.2,,,,,
2017-01-05,0.7,4.6,-2.3,0.0,,,,,2.6,,,,,
2017-01-06,-0.3,3.8,-3.5,0.0,,,,,2.1,,,,,
2017-01-07,2.4,7.2,-2.6,0.0,,,,,1.6,,,,,
2017-01-08,3.4,7.2,-2.0,1.0,,,,,2.0,,,,,
2017-01-09,4.6,6.4,1.9,15.5,,,,,1.8,,,,,
2017-01-10,3.6,7.4,-0.8,0.0,,,,,2.6,,,,,
2017-01-11,-1.1,2.1,-3.1,0.0,,,,,2.2,,,,,
2017-01-12,-1.3,2.1,-3.1,0.0,,,,,1.9,,,,,
2017-01-13,-0.7,2.9,-3.5,0.0,,,,,2.2,,,,,
