calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-08-26,19.1,24.0,15.8,13.5,4.2,13.61,,,3.3,14.2,1002.4,64,1003.8,7.0
2016-08-27,18.4,22.0,14.3,,12.7,24.10,,,3.4,13.1,1011.8,63,1013.2,0.0
2016-08-28,17.3,18.4,16.2,0.0,2.1,9.63,,,7.4,16.0,1011.8,81,1013.2,9.3
2016-08-29,18.6,19.8,17.1,3.0,0.0,4.29,,,9.0,20.4,1008.9,95,1010.3,10.0
2016-08-30,19.8,21.2,18.9,7.5,0.1,6.85,,,11.1,20.8,1005.6,90,1007.0,10.0
2016-08-31,20.2,24.7,18.5,5.0,1.2,7.70,,,4.9,21.5,1002.1,91,1003.4,7.5
2016-09-01,18.1,21.3,16.1,0.0,3.8,12.78,,,3.3,19.6,1010.0,94,1011.4,8.8
2016-09-02,16.6,18.1,15.6,0.0,0.0,5.56,,,4.5,17.7,1017.0,94,1018.4,10.0
2016-09-03,17.7,21.0,16.6,0.0,0.0,6.69,,,3.7,18.4,1018.5,91,1019.9,10.0
2016-09-04,18.2,20.7,17.5,11.0,0.1,4.15,,,2.6,19.7,1018.2,94,1019.6,10.0
2016-09-05,18.8,20.8,17.5,4.0,2.8,14.11,,,3.3,19.3,1014.4,89,1015.8,9.8
2016-09-06,18.2,19.8,16.2,192.0,0.0,1.34,,,3.9,20.1,1004.0,96,1005.4,10.0
2016-09-07,15.2,16.5,13.8,27.5,0.0,3.04,,,7.2,15.6,1007.3,90,1008.7,10.0
2016-09-08,15.0,16.7,13.5,1.0,0.9,8.83,,,9.4,13.9,1013.8,82,1015.2,10.0
2016-09-09,14.8,15.2,14.2,12.0,0.0,2.49,,,8.4,15.4,1009.4,91,1010.8,10.0
2016-09-10,14.9,16.7,13.9,16.0,0.0,6.04,,,6.0,14.6,1009.3,86,1010.7,10.0
2016-09-11,16.0,19.1,13.2,0.0,5.8,15.56,,,4.5,13.1,1017.8,72,1019.2,7.0
2016-09-12,15.5,19.4,12.0,,10.2,19.85,,,1.7,12.4,1022.4,71,1023.8,3.5
2016-09-13,16.0,20.3,11.8,,9.3,17.34,,,1.6,13.7,1020.7,76,1022.1,4.5
2016-09-14,18.3,21.9,13.7,3.5,1.9,11.09,,,2.8,16.7,1016.0,79,1017.4,10.0
2016-09-15,17.1,20.2,14.2,0.0,1.3,5.36,,,4.7,16.6,1014.6,84,1016.0,9.8
2016-09-16,16.5,20.8,13.5,23.5,0.9,5.71,,,4.2,16.0,1012.1,85,1013.5,10.0
2016-09-17,12.8,17.3,10.6,1.0,0.3,7.21,,,7.1,11.1,1014.2,75,1015.6,8.3
2016-09-18,13.3,17.4,9.5,0.0,4.6,14.57,,,2.9,11.2,1012.8,73,1014.2,7.8
2016-09-19,15.2,18.1,11.4,0.5,10.8,18.35,,,2.6,11.0,1010.6,65,1012.0,4.5
2016-09-20,17.2,19.6,15.1,0.0,9.7,16.15,,,4.1,11.5,1012.7,59,1014.1,3.8
2016-09-21,15.5,17.8,12.1,,11.4,18.91,,,3.5,9.6,1022.1,55,1023.5,0.0
2016-09-22,15.9,20.4,10.4,,10.0,17.41,,,2.3,12.3,1021.2,68,1022.6,5.0
2016-09-23,17.7,22.1,14.8,,9.4,17.12,,,2.2,14.2,1015.2,71,1016.6,3.3
2016-09-24,18.3,21.5,14.8,,10.7,17.24,,,3.5,17.7,1015.5,84,1016.9,5.3
2016-09-25,19.5,22.1,15.4,0.0,10.1,16.77,,,5.5,17.2,1012.4,76,1013.8,5.0
2016-09-26,18.6,20.7,17.3,,10.4,17.16,,,5.3,13.1,1014.6,61,1016.0,1.0
2016-09-27,20.2,22.0,17.4,0.0,5.2,12.06,,,5.1,18.1,1012.3,77,1013.7,8.3
2016-09-28,15.7,20.3,11.1,24.0,3.2,11.54,,,5.3,13.5,1007.6,74,1009.0,7.0
2016-09-29,13.6,17.2,9.3,,10.3,16.99,,,2.2,11.4,1011.4,73,1012.8,1.0
2016-09-30,17.8,20.7,12.6,,10.5,16.38,,,6.4,12.7,1009.4,63,1010.8,2.0
2016-10-01,18.2,20.6,15.8,,10.3,15.63,,,3.8,12.3,1013.8,59,1015.2,3.8
2016-10-02,19.5,21.9,16.3,,9.7,13.91,,,6.4,15.5,1010.6,68,1012.0,4.3
2016-10-03,17.3,19.0,14.7,22.0,0.2,3.36,,,3.8,16.8,1005.2,85,1006.6,10.0
2016-10-04,12.2,16.9,9.0,15.0,0.9,5.13,,,5.5,9.3,1003.1,62,1004.5,10.0
2016-10-05,10.6,13.1,8.6,5.0,1.0,7.28,,,2.5,7.2,1014.5,57,1015.9,9.3
2016-10-06,9.9,13.2,6.1,3.0,2.1,7.76,,,4.6,7.0,1007.2,57,1008.6,8.8
2016-10-07,9.0,12.4,4.3,3.0,0.3,3.24,,,5.6,5.3,1015.7,46,1017.1,10.0
2016-10-08,11.8,14.2,9.5,3.5,1.7,5.54,,,3.0,8.5,1006.3,62,1007.7,10.0
2016-10-09,9.7,12.2,6.5,21.0,0.2,3.84,,,7.0,9.7,998.4,80,999.8,9.5
2016-10-10,8.3,9.6,6.3,2.5,0.9,4.81,,,5.0,4.9,1010.5,45,1011.9,10.0
2016-10-11,9.0,11.6,7.0,10.0,0.7,5.39,,,3.9,6.8,1011.3,61,1012.7,10.0
2016-10-12,7.9,9.5,6.5,3.5,1.2,4.71,,,2.9,6.1,1011.5,57,1012.9,10.0
2016-10-13,9.8,12.0,8.5,0.0,4.4,9.35,,,3.9,4.6,1014.7,38,1016.1,6.8
2016-10-14,9.8,12.2,6.6,0.5,3.9,7.55,,,3.9,5.1,1018.1,43,1019.5,5.8
2016-10-15,14.5,16.9,10.7,,7.6,12.39,,,6.5,8.7,1017.8,51,1019.2,9.0
2016-10-16,16.1,17.2,14.8,,7.2,10.68,,,6.3,14.9,1018.2,82,1019.6,5.8
2016-10-17,16.2,18.6,14.6,0.0,3.2,8.43,,,5.1,14.5,1012.0,79,1013.4,10.0
2016-10-18,11.3,15.5,9.9,0.0,9.5,13.00,,,5.6,7.6,1012.6,56,1014.0,5.3
2016-10-19,12.3,14.7,9.9,0.0,9.4,12.60,,,4.2,7.8,1012.3,54,1013.7,5.8
2016-10-20,6.8,14.4,1.7,13.0,0.0,2.71,0,,6.9,6.8,1003.6,65,1005.0,10.0
2016-10-21,5.7,8.0,1.1,1.5,1.3,6.29,0,,5.5,4.6,1013.5,51,1014.9,9.5
2016-10-22,5.5,7.5,4.2,7.0,0.1,3.55,,,3.0,6.8,1011.7,76,1013.1,8.5
2016-10-23,4.7,5.9,3.2,1.0,0.4,2.24,,,5.1,3.8,1006.3,44,1007.7,10.0
2016-10-24,4.3,6.3,2.5,1.0,0.0,1.56,,,5.2,3.4,1005.4,41,1006.8,10.0
2016-10-25,8.8,11.6,4.8,2.0,5.0,8.70,,,5.1,5.7,1010.3,49,1011.7,9.8
2016-10-26,8.5,11.4,4.6,7.0,1.1,3.57,,,5.4,6.5,1004.1,56,1005.5,9.0
2016-10-27,4.7,6.4,3.2,0.0,2.3,4.19,,,6.0,3.5,1011.5,41,1012.9,9.0
2016-10-28,6.1,7.2,4.6,,3.1,7.49,,,5.7,3.8,1010.2,40,1011.6,9.8
2016-10-29,2.6,4.6,1.8,0.0,3.2,6.44,,,5.9,2.4,1010.6,32,1012.1,8.8
2016-10-30,2.0,4.1,-0.3,0.0,0.9,3.10,,,7.2,2.5,1017.8,36,1019.3,9.0
2016-10-31,1.3,4.0,-0.4,11.0,0.3,1.62,14,15,4.2,4.1,1015.2,63,1016.7,10.0
2016-11-01,0.3,1.3,-0.3,0.0,1.5,5.63,11,,4.0,3.1,1017.8,50,1019.3,8.8
2016-11-02,2.2,3.7,0.4,0.0,2.5,6.04,1,,4.5,3.2,1020.1,45,1021.6,9.8
2016-11-03,2.4,4.1,0.3,1.5,0.2,3.19,0,,2.4,4.8,1011.1,66,1012.6,7.3
2016-11-04,1.2,2.4,0.5,1.5,1.8,3.71,0,,4.7,3.0,1006.4,45,1007.9,10.0
2016-11-05,1.0,2.2,-1.7,3.5,0.0,3.92,2,2,5.0,4.7,1006.9,71,1008.4,10.0
2016-11-06,-1.0,0.5,-2.2,1.0,0.0,1.86,1,,6.6,3.2,1015.8,55,1017.3,10.0
2016-11-07,-0.2,1.7,-1.9,0.0,1.7,4.87,1,,2.4,3.3,1025.7,55,1027.2,9.5
2016-11-08,2.0,7.3,-0.9,10.5,0.0,1.98,3,4,3.5,6.4,1007.2,90,1008.7,9.5
2016-11-09,0.0,3.6,-1.5,8.5,0.0,2.04,5,6,6.5,4.5,1003.4,74,1004.9,10.0
2016-11-10,0.0,0.6,-0.8,0.5,0.0,2.19,1,,4.4,3.3,1016.5,53,1018.0,9.3
2016-11-11,0.7,2.5,-2.0,,5.8,8.14,1,,4.0,3.8,1022.4,59,1023.9,6.0
2016-11-12,4.4,6.7,1.7,0.0,0.9,3.77,,,4.6,6.0,1018.8,73,1020.3,6.8
2016-11-13,3.3,6.1,2.0,6.0,0.0,2.37,,,2.7,5.9,1018.3,76,1019.8,9.8
2016-11-14,3.9,9.7,-0.2,7.5,2.1,3.96,,,3.1,5.6,1014.8,67,1016.3,9.3
2016-11-15,3.9,9.6,0.6,3.0,0.3,2.41,,,3.9,5.6,1003.1,68,1004.6,10.0
2016-11-16,-0.4,0.7,-1.8,8.5,0.2,2.61,8,10,4.8,3.9,1008.8,67,1010.3,10.0
2016-11-17,-0.4,0.2,-1.7,3.5,1.2,3.80,11,3,4.7,3.2,1013.8,55,1015.3,9.8
2016-11-18,3.4,7.0,-0.4,2.5,0.0,1.44,6,1,4.7,5.1,1012.0,64,1013.5,10.0
2016-11-19,2.6,4.5,1.2,8.5,0.0,1.56,,,3.0,5.6,1012.1,75,1013.6,10.0
2016-11-20,1.9,7.0,-3.3,16.5,0.0,2.04,0,,4.7,5.8,1006.9,79,1008.4,10.0
2016-11-21,-2.6,-0.8,-4.2,1.0,0.2,2.41,2,2,5.2,3.0,1017.4,60,1018.9,9.8
2016-11-22,-2.9,-1.3,-4.6,4.0,0.5,2.65,9,9,4.1,3.4,1012.6,69,1014.1,10.0
2016-11-23,-8.5,-3.6,-10.8,4.0,0.0,1.53,7,3,5.9,1.9,1012.6,59,1014.1,10.0
2016-11-24,-5.6,-3.1,-8.2,2.5,0.2,2.51,7,6,4.4,2.5,1016.0,61,1017.5,9.8
2016-11-25,-3.9,-2.8,-4.9,0.5,1.0,3.74,6,2,3.6,2.6,1016.1,56,1017.6,10.0
2016-11-26,-2.7,-0.9,-4.6,1.5,4.4,6.94,7,2,3.7,3.1,1021.7,61,1023.2,9.3
2016-11-27,-0.1,1.3,-2.5,5.5,0.0,2.19,10,10,2.9,5.2,1014.5,86,1016.0,10.0
2016-11-28,0.6,2.3,-1.0,26.5,0.0,2.06,34,29,4.4,5.6,1008.2,87,1009.7,10.0
2016-11-29,-2.1,0.2,-4.3,1.0,0.5,3.21,31,2,8.1,3.5,1018.6,67,1020.1,10.0
2016-11-30,-1.7,1.7,-3.7,0.0,0.8,3.80,14,1,3.2,3.5,1026.8,65,1028.3,10.0
2016-12-01,2.3,6.6,-0.2,2.5,0.0,2.12,12,1,4.3,5.5,1007.8,75,1009.2,10.0
2016-12-02,0.0,4.0,-2.3,3.0,0.0,1.60,3,2,7.7,3.4,1000.7,55,1002.1,10.0
2016-12-03,3.2,6.9,-1.6,0.0,5.0,5.98,2,,6.6,4.3,1014.8,54,1016.3,4.0
2016-12-04,7.2,9.0,5.5,0.5,0.8,2.44,0,,6.7,7.7,1009.1,75,1010.5,10.0
2016-12-05,1.5,5.9,-1.2,,0.2,3.97,,,3.5,3.9,1008.7,56,1010.2,9.0
2016-12-06,-3.6,-0.2,-7.1,5.0,0.0,0.98,14,15,5.3,3.7,1004.6,78,1006.1,10.0
2016-12-07,-7.0,-5.5,-8.7,0.0,1.1,3.59,13,1,5.0,2.0,1011.4,54,1012.9,9.8
2016-12-08,-4.3,-2.4,-6.5,0.0,1.7,4.11,10,1,5.3,2.5,1010.7,55,1012.2,9.3
2016-12-09,-2.6,-1.9,-3.9,0.0,0.0,3.60,9,1,4.4,3.0,1010.2,59,1011.7,10.0
2016-12-10,-4.7,-3.4,-6.1,0.0,0.5,3.17,9,3,7.4,2.8,1010.4,65,1011.9,9.8
2016-12-11,-5.6,-3.5,-7.9,0.0,0.3,2.48,5,1,7.3,2.7,1015.8,67,1017.3,9.5
2016-12-12,-3.6,-2.7,-4.6,0.0,1.4,3.88,5,3,3.8,3.1,1021.8,66,1023.3,9.8
2016-12-13,-3.3,-1.5,-5.7,3.5,0.0,1.61,7,2,4.3,3.9,1013.7,80,1015.2,10.0
2016-12-14,-4.8,-2.5,-6.3,0.0,4.6,5.50,5,,6.4,2.6,1010.1,60,1011.6,8.0
2016-12-15,-5.6,-4.8,-6.4,1.0,1.4,3.72,4,,4.2,2.4,1006.9,60,1008.4,9.3
2016-12-16,-5.5,-3.9,-7.8,5.5,1.0,3.30,13,12,3.0,2.7,1004.9,67,1006.4,9.5
2016-12-17,-4.9,-1.1,-7.1,4.5,0.1,1.97,17,5,4.3,2.7,1008.3,63,1009.8,10.0
2016-12-18,1.2,3.7,-1.4,,2.3,3.83,13,,6.5,3.1,1010.7,46,1012.2,5.8
2016-12-19,-0.6,1.4,-4.7,,7.6,6.42,10,,2.6,3.2,1018.7,55,1020.2,0.3
2016-12-20,-1.4,1.5,-5.2,0.0,2.2,4.37,10,,3.1,4.0,1022.2,73,1023.7,5.5
2016-12-21,-1.6,1.0,-5.4,0.0,0.1,2.86,11,2,3.0,4.0,1025.2,74,1026.7,8.0
2016-12-22,-2.6,-0.4,-3.6,0.0,0.0,1.63,9,2,8.2,3.4,1022.9,67,1024.4,10.0
2016-12-23,-4.6,-2.0,-7.4,0.0,0.0,1.38,12,4,12.8,3.4,1008.7,78,1010.2,10.0
2016-12-24,-4.1,-2.0,-7.6,0.0,0.4,3.08,9,2,5.9,2.6,1019.3,57,1020.8,8.3
2016-12-25,-1.6,0.1,-3.6,0.5,1.1,2.90,10,2,4.2,2.9,1021.3,54,1022.8,9.3
2016-12-26,-1.0,0.7,-3.0,5.5,0.0,0.98,16,9,3.2,4.4,1014.4,76,1015.9,10.0
2016-12-27,-5.9,-2.8,-8.1,1.5,1.8,3.79,16,1,7.3,2.6,1011.6,64,1013.1,9.8
2016-12-28,-5.4,-1.2,-8.3,0.0,0.6,3.10,11,4,4.9,2.5,1015.5,60,1017.0,10.0
2016-12-29,-4.0,-0.1,-6.3,1.5,1.2,3.26,11,1,4.5,2.5,1007.7,53,1009.2,9.0
2016-12-30,-3.6,-2.3,-5.4,0.0,1.8,4.29,10,2,5.2,2.6,1010.7,54,1012.2,9.5
2016-12-31,-3.6,-1.9,-5.2,0.0,0.0,2.35,9,1,3.1,2.6,1016.4,56,1017.9,9.0
2017-01-01,-0.8,0.5,-2.6,0.0,1.5,3.79,8,,3.5,3.0,1014.9,52,1016.4,8.3
2017-01-02,-0.9,0.2,-2.7,0.5,2.4,4.38,10,2,2.4,3.7,1011.5,65,1013.0,10.0
2017-01-03,-2.0,-0.4,-3.1,0.5,2.8,4.76,11,2,2.5,3.7,1012.6,71,1014.1,9.3
2017-01-04,-3.4,-1.5,-5.6,2.0,1.2,3.19,13,3,4.8,3.5,1014.1,73,1015.6,10.0
2017-01-05,-5.2,-4.4,-6.3,0.0,3.6,5.37,10,2,7.4,2.5,1020.2,61,1021.7,9.5
2017-01-06,-1.9,-0.1,-4.8,0.0,2.6,4.82,8,,2.9,2.7,1019.0,50,1020.5,8.3
2017-01-07,-1.2,1.0,-3.8,0.0,0.6,3.52,8,1,5.6,3.3,1014.4,59,1015.9,9.5
2017-01-08,-3.1,-1.8,-3.9,0.0,1.9,4.20,7,,3.7,3.2,1016.9,66,1018.4,9.5
2017-01-09,-1.7,1.0,-3.8,2.0,0.0,2.33,11,5,2.8,3.9,1002.0,72,1003.5,10.0
2017-01-10,-6.3,-1.0,-9.8,3.0,0.0,2.05,14,6,5.8,2.1,1001.6,56,1003.1,10.0
2017-01-11,-10.7,-8.9,-12.0,0.0,0.0,2.15,14,3,5.2,1.6,1000.1,60,1001.6,10.0
2017-01-12,-9.3,-7.2,-11.4,0.0,0.0,2.19,17,5,5.5,1.9,992.2,63,993.7,9.3
2017-01-13,-7.1,-4.7,-10.0,0.5,6.7,7.47,16,2,2.0,2.2,999.1,63,1000.6,8.0
2017-01-14,-4.8,-3.1,-7.2,5.5,1.0,3.97,23,9,4.8,3.3,999.2,76,1000.7,9.5
2017-01-15,-1.1,0.5,-4.0,5.0,0.0,2.38,21,7,11.8,4.6,1002.8,81,1004.3,10.0
2017-01-16,-1.4,-0.3,-2.5,1.5,0.0,3.39,16,,11.8,4.1,1014.9,73,1016.4,10.0
2017-01-17,-2.8,-2.0,-4.0,0.0,0.0,3.84,14,,3.5,2.6,1023.0,52,1024.5,10.0
2017-01-18,-3.5,-2.2,-4.9,0.0,0.4,4.34,15,2,2.2,3.6,1022.5,75,1024.0,10.0
2017-01-19,-3.4,-1.9,-5.4,0.0,0.1,3.57,16,2,3.6,2.9,1017.2,62,1018.7,10.0
2017-01-20,-4.4,-3.1,-6.1,1.5,3.0,5.55,19,5,3.0,3.3,1014.6,74,1016.1,9.8
2017-01-21,-6.0,-4.0,-9.2,0.5,1.5,3.99,17,1,3.9,2.6,1019.0,66,1020.5,7.3
2017-01-22,-6.2,-3.8,-9.7,3.0,1.7,4.93,16,,6.0,2.7,1012.4,71,1013.9,10.0
2017-01-23,-8.2,-6.0,-9.2,0.5,0.0,2.85,12,2,8.6,2.4,1011.6,72,1013.1,8.5
2017-01-24,-8.2,-6.5,-9.5,0.0,0.8,4.50,14,4,7.3,2.2,1014.8,67,1016.3,9.8
2017-01-25,-5.1,-3.8,-7.1,1.0,1.3,5.21,14,1,3.0,2.7,1017.5,64,1019.0,9.8
2017-01-26,-3.9,0.4,-6.9,0.0,3.2,6.10,15,1,2.9,3.1,1017.9,67,1019.4,8.5
2017-01-27,-0.2,2.2,-4.4,17.5,0.0,0.95,16,5,6.5,5.1,999.4,83,1000.9,10.0
2017-01-28,-5.3,-4.0,-6.6,1.0,0.0,2.75,15,1,7.2,2.2,1008.5,54,1010.0,10.0
2017-01-29,-4.3,-2.5,-6.3,0.0,1.7,5.88,17,4,3.1,2.7,1017.4,61,1018.9,10.0
2017-01-30,-6.2,-4.2,-8.5,0.0,3.9,7.21,16,,3.2,2.6,1009.1,68,1010.6,9.5
2017-01-31,-5.0,-2.6,-7.5,2.0,0.5,4.84,20,4,4.1,2.6,1012.5,62,1014.0,10.0
2017-02-01,-4.4,-1.9,-8.0,1.0,0.2,4.02,26,8,4.8,2.8,1004.2,64,1005.7,10.0
2017-02-02,-8.6,-6.4,-9.8,1.5,0.4,4.12,25,3,7.6,1.9,1003.0,60,1004.5,10.0
2017-02-03,-5.9,-3.0,-8.5,0.0,0.0,4.33,22,1,3.2,2.0,1008.4,52,1009.9,9.5
2017-02-04,-3.7,-2.0,-9.5,0.0,7.9,10.46,20,,4.3,2.3,1012.1,51,1013.6,3.3
2017-02-05,-2.8,1.0,-9.5,0.0,7.0,10.01,19,,2.9,3.3,1010.1,67,1011.6,4.3
2017-02-06,-3.1,-1.3,-4.9,0.0,3.1,6.49,19,1,6.8,3.7,1005.4,76,1006.9,7.5
2017-02-07,-4.2,-2.3,-6.3,1.0,1.2,6.10,19,3,5.5,3.1,1006.3,68,1007.8,9.8
2017-02-08,-2.4,-1.0,-4.0,2.5,0.4,4.49,18,2,3.7,3.6,1005.1,70,1006.6,9.8
2017-02-09,-3.5,-1.1,-6.3,0.0,3.8,8.56,18,2,2.5,3.4,1005.3,73,1006.8,7.8
2017-02-10,-3.5,-0.7,-8.1,0.0,0.0,4.33,18,1,3.6,3.6,1001.2,75,1002.7,7.8
2017-02-11,-0.5,0.4,-1.7,1.5,0.7,5.92,18,1,7.4,4.7,1002.8,79,1004.3,10.0
2017-02-12,-0.6,0.0,-1.1,3.0,0.0,4.07,21,5,5.3,5.2,1011.3,89,1012.8,10.0
2017-02-13,-1.0,-0.3,-2.6,1.5,0.5,6.24,21,1,3.5,4.7,1018.4,82,1019.9,10.0
2017-02-14,-1.7,-0.6,-2.9,1.5,0.6,5.51,22,1,2.8,4.0,1019.2,75,1020.7,10.0
2017-02-15,-0.6,1.5,-2.6,0.0,5.0,10.07,21,,2.7,3.4,1017.0,59,1018.5,8.3
2017-02-16,1.3,4.2,-4.3,4.5,0.2,3.78,20,,3.9,5.5,1009.2,80,1010.6,8.0
2017-02-17,-0.9,4.0,-5.7,0.0,0.4,6.06,15,4,4.8,3.7,999.4,62,1000.9,10.0
2017-02-18,-6.2,-4.2,-8.5,0.0,0.2,4.41,16,4,5.8,2.5,1002.5,64,1004.0,9.8
2017-02-19,-4.9,-3.7,-5.9,0.0,1.4,7.03,16,1,5.4,2.7,1007.0,63,1008.5,10.0
2017-02-20,-5.5,-3.2,-7.1,0.0,3.6,8.64,15,,5.8,2.3,1005.2,57,1006.7,9.3
2017-02-21,-5.5,-3.5,-7.3,0.0,0.0,4.26,13,3,8.4,2.4,1011.0,59,1012.5,9.3
2017-02-22,-1.8,-0.5,-3.7,1.0,3.8,8.79,16,4,3.3,3.1,1015.4,57,1016.9,9.8
2017-02-23,0.0,1.9,-1.2,10.0,0.4,5.49,26,13,3.0,5.2,997.6,85,999.1,10.0
2017-02-24,-2.9,0.1,-4.0,4.5,0.0,5.18,27,14,6.7,3.9,999.9,78,1001.4,9.5
2017-02-25,-3.5,-0.8,-5.8,2.0,2.0,7.47,25,2,4.0,2.6,1006.0,55,1007.5,9.0
2017-02-26,-6.2,-4.1,-8.3,0.5,1.9,7.47,24,3,4.3,2.0,1013.8,52,1015.3,8.8
2017-02-27,-3.1,-1.6,-5.2,0.0,6.2,12.80,24,1,3.3,2.2,1023.5,45,1025.0,7.8
2017-02-28,1.3,3.2,-4.1,1.5,4.3,9.01,22,,4.6,4.5,1020.9,66,1022.4,6.0
2017-03-01,1.9,3.1,0.6,7.0,0.0,1.24,19,3,5.5,6.2,1014.0,89,1015.5,9.8
2017-03-02,1.8,3.8,0.3,2.0,0.0,4.78,17,1,3.0,6.2,1008.5,89,1010.0,10.0
2017-03-03,-2.0,0.8,-4.5,2.0,0.5,5.93,15,2,6.4,3.6,1004.4,66,1005.9,10.0
2017-03-04,-5.6,-3.5,-7.8,0.5,2.8,7.86,15,3,6.1,1.7,1006.5,43,1008.0,9.8
2017-03-05,-5.5,-3.7,-7.4,0.0,1.4,8.26,16,2,6.4,2.2,1006.1,53,1007.6,10.0
2017-03-06,-2.2,-0.1,-4.3,0.5,2.0,8.60,15,,3.6,3.1,1003.2,60,1004.7,9.8
2017-03-07,-2.5,-1.3,-4.1,0.5,0.5,9.57,17,2,2.1,3.8,996.0,76,997.5,10.0
2017-03-08,-1.1,0.8,-2.8,2.0,2.8,9.98,18,1,4.0,3.6,993.9,64,995.4,10.0
2017-03-09,-1.1,2.0,-4.3,0.0,7.2,14.07,18,1,2.4,4.1,996.7,73,998.2,6.8
2017-03-10,-0.8,0.6,-2.0,0.0,6.4,14.70,17,,4.1,3.7,1006.0,64,1007.5,8.8
2017-03-11,-2.1,0.4,-4.6,,10.5,17.76,17,,2.3,3.9,1019.1,74,1020.6,1.8
2017-03-12,-2.3,-0.2,-4.8,,10.6,17.76,16,,1.7,3.9,1023.2,76,1024.7,3.8
2017-03-13,-1.4,1.8,-5.1,,10.9,17.56,16,,2.2,3.7,1021.2,68,1022.7,0.0
2017-03-14,-1.7,2.1,-3.9,0.0,9.3,16.59,14,,3.8,4.0,1018.1,74,1019.6,5.5
2017-03-15,-0.9,1.1,-3.9,0.0,5.4,13.28,14,,5.6,3.8,1013.7,66,1015.2,7.0
2017-03-16,0.6,2.3,-0.4,1.5,1.8,10.03,14,2,6.9,5.2,1011.4,82,1012.9,10.0
2017-03-17,0.4,1.4,-0.7,0.0,8.4,16.92,10,,5.9,3.9,1014.8,62,1016.3,4.8
2017-03-18,1.3,3.4,-0.2,,8.7,17.55,9,,4.3,3.8,1014.9,56,1016.4,6.8
2017-03-19,1.9,3.7,0.7,,10.4,18.25,4,,6.4,3.8,1014.7,54,1016.2,9.0
2017-03-20,1.1,3.0,-2.4,,11.0,19.24,0,,2.8,3.9,1016.3,60,1017.8,1.5
2017-03-21,0.5,3.6,-3.1,0.5,0.0,4.18,1,1,3.5,5.0,1007.8,79,1009.3,8.0
2017-03-22,-0.6,0.6,-2.3,23.5,0.0,3.42,17,19,5.6,5.3,1004.3,91,1005.8,10.0
2017-03-23,-1.8,-0.5,-2.9,1.0,6.1,15.66,16,3,3.7,3.9,1011.5,73,1013.0,8.3
2017-03-24,-0.2,0.7,-1.2,2.0,0.1,10.84,15,2,3.9,4.6,1012.0,75,1013.5,9.8
2017-03-25,1.6,3.3,-1.0,,10.3,20.35,11,,3.9,4.3,1017.0,63,1018.5,2.8
2017-03-26,1.7,5.0,-2.5,0.0,9.0,19.16,6,,2.3,4.8,1018.1,71,1019.6,5.0
2017-03-27,3.1,6.3,-0.9,,10.5,19.24,2,,3.2,5.6,1013.8,74,1015.3,5.0
2017-03-28,2.1,4.1,-0.9,0.0,7.1,16.63,0,,2.0,5.3,1012.1,74,1013.6,4.5
2017-03-29,2.2,4.2,-0.3,,10.1,20.38,0,,4.6,5.0,1014.0,69,1015.5,6.0
2017-03-30,-0.4,2.1,-2.4,,11.3,21.58,0,,2.9,4.1,1018.0,70,1019.5,2.3
2017-03-31,0.3,3.0,-2.1,,11.7,21.93,0,,2.4,4.1,1018.8,66,1020.3,0.8
2017-04-01,2.4,5.2,-2.5,,11.9,22.21,0,,3.5,4.9,1013.9,68,1015.4,1.3
2017-04-02,4.6,6.9,2.2,0.5,9.3,19.07,,,5.9,6.3,1007.9,74,1009.3,5.3
2017-04-03,5.3,8.0,3.0,0.0,4.3,13.28,,,3.8,7.0,1012.3,79,1013.8,10.0
2017-04-04,4.4,7.2,2.0,,5.8,16.13,,,4.1,6.8,1018.3,82,1019.8,7.5
2017-04-05,7.6,9.3,5.3,0.0,1.9,10.86,,,8.9,7.6,1014.3,73,1015.7,7.3
2017-04-06,8.3,10.4,6.7,4.0,5.4,13.20,,,6.6,9.0,1010.6,82,1012.0,8.8
2017-04-07,4.0,9.0,0.2,7.5,8.2,18.54,,,5.4,6.2,1010.1,74,1011.6,5.0
2017-04-08,3.4,6.7,-0.2,4.5,2.0,5.93,,,4.2,5.9,1009.6,75,1011.0,10.0
2017-04-09,4.7,7.7,1.2,0.0,11.2,23.04,,,4.3,4.6,1004.7,55,1006.2,5.0
2017-04-10,3.4,5.7,1.0,,11.1,23.44,,,5.2,4.7,1014.3,61,1015.8,3.5
2017-04-11,8.4,11.3,4.4,,6.2,13.70,,,6.6,5.3,1005.3,49,1006.7,7.5
2017-04-12,2.3,7.8,0.6,9.0,0.2,6.39,,,4.6,5.3,995.5,73,996.9,7.8
2017-04-13,1.3,3.5,-3.0,4.5,4.0,11.53,4,4,5.1,2.7,997.2,41,998.6,8.3
2017-04-14,6.1,8.9,2.7,0.0,2.3,7.24,0,,5.7,7.3,998.9,76,1000.3,8.3
2017-04-15,8.4,10.7,6.6,,9.0,21.67,,,8.0,8.5,997.8,77,999.2,7.8
2017-04-16,7.4,11.4,3.0,,8.7,21.73,,,6.9,6.4,999.7,63,1001.1,7.0
2017-04-17,5.8,9.9,3.2,0.0,11.9,24.85,,,3.2,5.2,1012.9,57,1014.4,5.0
