calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-18,8.9,14.0,3.6,0.0,8.2,,,,1.2,,,,,
2016-12-19,10.4,16.4,3.9,0.0,9.0,,,,1.6,,,,,
2016-12-20,9.7,12.8,7.4,0.0,3.0,,,,2.2,,,,,
2016-12-21,10.7,17.2,5.6,0.0,8.1,,,,1.5,,,,,
2016-12-22,13.8,17.6,7.6,5.0,2.7,,,,5.8,,,,,
2016-12-23,14.8,18.9,9.8,4.5,4.4,,,,5.3,,,,,
2016-12-24,9.1,12.2,6.1,0.0,8.6,,,,3.8,,,,,
2016-12-25,6.8,11.9,4.6,0.0,4.6,,,,2.0,,,,,
2016-12-26,7.3,10.1,4.0,0.0,1.0,,,,2.1,,,,,
2016-12-27,11.4,17.9,5.1,11.0,0.1,,,,6.3,,,,,
2016-12-28,6.3,8.9,2.8,0.0,9.5,,,,4.2,,,,,
2016-12-29,4.8,9.0,1.1,0.0,5.3,,,,2.2,,,,,
2016-12-30,6.4,9.8,3.7,0.0,9.3,,,,4.3,,,,,
2016-12-31,6.7,11.5,2.6,0.0,9.2,,,,2.3,,,,,
2017-01-01,7.8,13.0,3.4,0.0,9.5,,,,2.5,,,,,
2017-01-02,7.7,13.5,3.3,0.0,6.6,,,,1.4,,,,,
2017-01-03,8.5,13.8,2.3,0.0,9.2,,,,2.5,,,,,
2017-01-04,8.6,13.7,3.1,0.0,8.8,,,,3.5,,,,,
2017-01-05,7.0,10.0,3.6,0.0,9.5,,,,5.4,,,,,
2017-01-06,4.6,8.2,1.1,0.0,9.3,,,,2.7,,,,,
2017-01-07,4.8,10.4,0.8,0.0,9.3,,,,1.9,,,,,
2017-01-08,4.2,6.4,2.3,15.5,0.0,,,,4.2,,,,,
2017-01-09,7.5,11.3,4.2,5.0,1.7,,,,4.3,,,,,
2017-01-10,8.9,13.3,5.5,0.0,9.5,,,,2.7,,,,,
2017-01-11,7.6,11.7,3.5,0.0,9.4,,,,3.1,,,,,
2017-01-12,7.2,12.8,1.1,0.0,8.2,,,,3.0,,,,,
2017-01-13,7.2,12.4,1.7,0.0,7.7,,,,2.8,,,,,
2017-01-14,2.6,6.6,-1.0,0.0,3.4,,,,2.9,,,,,
2017-01-15,1.7,5.4,-0.8,0.0,9.4,,,,3.4,,,,,
2017-01-16,4.1,8.2,-2.4,0.0,9.9,,,,3.6,,,,,
2017-01-17,6.0,10.8,2.9,0.0,9.4,,,,2.7,,,,,
2017-01-18,6.6,10.6,1.5,0.0,8.9,,,,3.0,,,,,
2017-01-19,6.8,11.0,2.9,0.0,5.0,,,,2.8,,,,,
2017-01-20,3.1,3.9,2.2,0.0,0.0,,,,3.1,,,,,
2017-01-21,6.1,10.6,2.6,0.0,9.7,,,,4.1,,,,,
2017-01-22,6.4,13.5,1.3,0.0,9.3,,,,1.8,,,,,
2017-01-23,4.4,7.4,0.8,0.0,6.8,,,,4.7,,,,,
2017-01-24,3.3,8.1,0.5,0.0,9.6,,,,3.8,,,,,
2017-01-25,4.5,9.1,0.9,0.0,10.0,,,,3.3,,,,,
2017-01-26,5.4,11.5,-1.8,0.0,9.9,,,,2.3,,,,,
2017-01-27,10.7,14.8,5.6,0.0,4.3,,,,8.6,,,,,
2017-01-28,8.9,13.5,4.6,0.0,9.0,,,,2.2,,,,,
2017-01-29,8.2,13.0,4.8,0.0,4.6,,,,2.0,,,,,
2017-01-30,11.7,20.1,7.1,0.0,8.5,,,,4.2,,,,,
2017-01-31,6.3,10.0,3.2,0.0,10.0,,,,4.4,,,,,
2017-02-01,6.5,11.9,3.1,0.0,7.4,,,,2.7,,,,,
2017-02-02,4.8,9.8,-0.1,0.0,10.1,,,,4.6,,,,,
2017-02-03,7.7,12.6,0.0,0.0,10.1,,,,3.9,,,,,
2017-02-04,8.6,14.0,5.6,0.0,9.4,,,,3.5,,,,,
2017-02-05,7.2,10.0,4.2,0.0,2.5,,,,1.9,,,,,
2017-02-06,9.2,14.9,4.6,0.0,8.0,,,,3.7,,,,,
2017-02-07,5.8,9.6,3.2,0.0,10.0,,,,5.3,,,,,
2017-02-08,6.8,10.5,3.5,0.0,9.5,,,,3.8,,,,,
2017-02-09,2.6,6.4,0.9,5.0,0.0,,,,3.1,,,,,
2017-02-10,4.5,9.0,2.3,0.0,5.4,,,,3.5,,,,,
2017-02-11,5.0,9.4,-0.4,0.0,7.8,,,,3.2,,,,,
2017-02-12,5.7,11.0,0.7,0.0,10.3,,,,4.0,,,,,
2017-02-13,6.4,11.3,1.4,0.0,8.1,,,,3.2,,,,,
2017-02-14,6.7,12.2,2.8,0.0,8.7,,,,3.4,,,,,
2017-02-15,6.5,13.3,-0.1,0.0,10.4,,,,2.8,,,,,
2017-02-16,7.7,12.4,2.6,0.0,10.3,,,,3.0,,,,,
2017-02-17,12.5,18.5,4.8,0.0,8.1,,,,8.4,,,,,
2017-02-18,8.2,10.5,6.4,0.0,1.7,,,,3.1,,,,,
2017-02-19,6.5,12.3,2.3,0.0,10.1,,,,4.1,,,,,
2017-02-20,9.8,18.4,1.8,12.0,5.5,,,,7.9,,,,,
2017-02-21,6.3,9.3,4.3,0.0,10.6,,,,5.8,,,,,
2017-02-22,7.0,10.7,1.5,0.0,4.1,,,,4.8,,,,,
2017-02-23,12.4,15.3,8.7,0.5,1.5,,,,7.5,,,,,
2017-02-24,7.7,11.7,4.7,0.5,4.6,,,,5.2,,,,,
2017-02-25,7.5,12.0,3.7,0.0,8.6,,,,2.4,,,,,
2017-02-26,8.6,13.0,4.7,0.0,9.1,,,,2.7,,,,,
2017-02-27,5.9,8.1,3.8,0.0,0.6,,,,3.9,,,,,
2017-02-28,5.1,8.6,2.7,0.0,9.1,,,,3.4,,,,,
2017-03-01,6.8,12.1,2.0,3.5,9.2,,,,2.2,,,,,
2017-03-02,7.3,8.7,6.0,11.5,0.0,,,,2.5,,,,,
2017-03-03,8.9,16.0,4.0,0.0,7.4,,,,3.3,,,,,
2017-03-04,8.4,13.2,2.7,0.0,5.8,,,,3.0,,,,,
2017-03-05,10.5,16.3,5.7,0.0,8.4,,,,2.5,,,,,
2017-03-06,9.5,10.9,8.1,2.0,0.6,,,,2.1,,,,,
2017-03-07,6.3,11.4,2.0,1.5,2.3,,,,3.5,,,,,
2017-03-08,5.9,10.9,-0.7,0.0,9.7,,,,2.3,,,,,
2017-03-09,8.0,13.1,1.4,0.0,11.4,,,,3.0,,,,,
2017-03-10,9.1,14.0,4.3,0.0,10.1,,,,2.9,,,,,
2017-03-11,7.6,13.1,4.8,0.0,6.9,,,,3.6,,,,,
2017-03-12,7.6,12.4,2.9,0.0,10.3,,,,2.9,,,,,
2017-03-13,8.8,12.8,5.8,3.0,0.8,,,,2.4,,,,,
2017-03-14,8.1,11.6,6.2,3.5,0.1,,,,3.9,,,,,
2017-03-15,5.1,7.0,3.4,2.0,0.0,,,,4.2,,,,,
2017-03-16,8.2,13.8,1.4,0.0,10.5,,,,3.4,,,,,
2017-03-17,9.5,15.1,4.6,0.0,9.4,,,,3.2,,,,,
2017-03-18,10.5,16.5,3.4,0.0,8.7,,,,3.4,,,,,
2017-03-19,12.4,18.0,4.5,0.0,8.1,,,,2.8,,,,,
2017-03-20,12.3,17.8,8.1,0.0,9.6,,,,4.0,,,,,
2017-03-21,9.6,12.0,7.4,13.0,0.0,,,,4.1,,,,,
2017-03-22,10.2,14.7,6.6,0.0,11.1,,,,5.3,,,,,
2017-03-23,9.8,13.9,4.1,0.0,6.3,,,,2.8,,,,,
2017-03-24,8.6,13.1,5.3,0.0,6.3,,,,4.5,,,,,
2017-03-25,7.9,13.1,3.3,0.0,10.9,,,,3.9,,,,,
2017-03-26,6.3,8.1,5.0,7.5,0.0,,,,3.4,,,,,
2017-03-27,5.0,8.1,2.5,20.5,1.2,,,,4.6,,,,,
2017-03-28,8.5,13.3,1.8,0.0,8.9,,,,3.6,,,,,
2017-03-29,9.6,14.3,4.6,0.0,8.5,,,,3.2,,,,,
2017-03-30,11.9,16.2,6.6,0.0,10.1,,,,2.7,,,,,
2017-03-31,9.1,13.0,5.3,4.5,1.3,,,,3.4,,,,,
2017-04-01,6.3,8.8,4.5,5.0,0.0,,,,4.0,,,,,
2017-04-02,8.4,12.8,4.7,0.0,9.7,,,,3.0,,,,,
2017-04-03,9.7,15.1,5.8,1.0,7.3,,,,3.6,,,,,
2017-04-04,11.1,16.2,5.0,0.0,10.2,,,,4.1,,,,,
2017-04-05,14.0,17.2,9.9,0.0,9.5,,,,5.7,,,,,
2017-04-06,15.6,17.8,13.5,0.5,8.2,,,,8.8,,,,,
2017-04-07,15.7,18.0,14.5,2.0,2.6,,,,9.0,,,,,
2017-04-08,14.9,16.2,12.6,9.0,0.0,,,,3.7,,,,,
2017-04-09,13.9,15.5,11.6,13.5,0.0,,,,2.5,,,,,
2017-04-10,10.6,14.7,7.2,0.0,6.2,,,,3.4,,,,,
2017-04-11,9.0,12.1,6.6,34.0,0.0,,,,3.9,,,,,
2017-04-12,15.1,21.5,8.1,0.0,9.6,,,,3.8,,,,,
2017-04-13,12.2,16.0,8.2,0.0,8.9,,,,3.9,,,,,
2017-04-14,14.4,18.3,8.8,0.0,11.8,,,,5.4,,,,,
2017-04-15,16.7,19.2,13.3,0.0,7.8,,,,8.8,,,,,
2017-04-16,16.8,21.1,10.6,0.0,11.7,,,,3.6,,,,,
2017-04-17,17.4,24.9,13.7,8.0,4.0,,,,4.3,,,,,
2017-04-18,17.7,20.2,14.7,18.5,4.9,,,,8.8,,,,,
2017-04-19,17.8,25.2,13.0,0.0,11.0,,,,5.5,,,,,
2017-04-20,15.5,20.3,11.7,0.0,9.7,,,,3.8,,,,,
2017-04-21,15.3,17.7,13.0,0.0,0.1,,,,2.4,,,,,
2017-04-22,14.5,19.1,10.1,9.5,0.5,,,,2.5,,,,,
2017-04-23,13.7,19.6,9.9,0.0,10.4,,,,3.5,,,,,
2017-04-24,14.7,19.3,9.8,0.0,8.6,,,,3.6,,,,,
2017-04-25,16.2,20.1,13.2,0.0,10.7,,,,7.0,,,,,
2017-04-26,16.1,17.2,15.0,0.0,0.0,,,,9.2,,,,,
2017-04-27,14.6,17.4,11.7,3.5,4.0,,,,4.8,,,,,
2017-04-28,16.0,21.2,11.9,0.0,10.5,,,,3.0,,,,,
2017-04-29,15.7,21.1,10.7,0.0,11.5,,,,3.9,,,,,
2017-04-30,17.0,22.2,10.0,0.0,12.5,,,,4.5,,,,,
2017-05-01,17.6,23.5,14.1,0.5,8.0,,,,2.8,,,,,
2017-05-02,16.4,21.5,11.4,0.0,12.8,,,,4.3,,,,,
2017-05-03,17.0,21.3,14.2,0.0,8.9,,,,6.5,,,,,
2017-05-04,17.9,22.0,15.4,0.0,10.0,,,,6.2,,,,,
2017-05-05,19.3,24.5,15.7,0.0,12.3,,,,4.1,,,,,
2017-05-06,19.7,22.5,16.8,0.0,11.0,,,,6.7,,,,,
2017-05-07,19.5,23.2,13.9,0.0,1.9,,,,4.0,,,,,
2017-05-08,19.9,23.8,13.9,0.0,12.4,,,,4.1,,,,,
2017-05-09,19.0,21.4,16.9,0.0,0.5,,,,3.0,,,,,
2017-05-10,16.6,17.7,15.6,2.5,0.0,,,,1.8,,,,,
2017-05-11,20.3,25.3,15.1,0.0,10.3,,,,2.8,,,,,
2017-05-12,21.4,27.9,17.4,0.0,7.6,,,,3.9,,,,,
2017-05-13,18.1,19.9,16.2,24.0,0.0,,,,3.7,,,,,
2017-05-14,17.8,20.1,15.3,0.0,0.8,,,,3.5,,,,,
2017-05-15,17.7,21.2,15.1,0.0,2.0,,,,3.2,,,,,
2017-05-16,18.8,23.2,16.4,0.0,4.7,,,,3.7,,,,,
2017-05-17,17.1,19.4,15.6,0.0,0.3,,,,3.3,,,,,
2017-05-18,18.1,24.0,14.7,25.0,7.0,,,,2.3,,,,,
2017-05-19,19.5,24.9,13.9,0.0,13.1,,,,3.8,,,,,
2017-05-20,21.1,25.8,17.2,0.0,13.0,,,,4.3,,,,,
2017-05-21,22.0,26.9,17.7,0.0,12.2,,,,4.2,,,,,
2017-05-22,21.3,24.1,19.2,0.0,12.4,,,,6.8,,,,,
2017-05-23,21.2,23.6,19.2,0.0,12.6,,,,8.5,,,,,
2017-05-24,21.3,24.4,19.3,0.0,5.1,,,,6.5,,,,,
2017-05-25,21.2,24.1,18.7,0.5,0.6,,,,2.4,,,,,
2017-05-26,19.0,21.0,17.4,14.5,0.0,,,,2.9,,,,,
2017-05-27,20.6,24.8,17.6,0.0,10.9,,,,5.4,,,,,
2017-05-28,20.8,25.5,17.3,0.0,8.6,,,,4.1,,,,,
2017-05-29,21.4,25.1,18.2,0.0,11.7,,,,5.2,,,,,
2017-05-30,22.2,25.7,18.7,0.0,12.2,,,,5.2,,,,,
2017-05-31,22.2,24.6,20.9,0.0,5.7,,,,7.3,,,,,
